Saved Metrics:
MeanSquaredError = 'mse'
MeanAbsolutePercentageError = 'mape'
AUC = 'auc'
TruePositives = 'TP'
TrueNegatives = 'TN'
FalsePositives = 'FP'
FalseNegatives = 'FN'
CategoricalAccuracy = 'catAcc'
-------------------------------------


ticker,itteration,elapsed time,training performance
,,,val_loss,val_out_reg_loss,val_out_cat_loss,val_out_reg_mse,val_out_reg_mape,val_out_cat_auc,val_out_cat_catAcc,val_out_cat_TP,val_out_cat_TN,val_out_cat_FP,val_out_cat_FN,loss,out_reg_loss,out_cat_loss,out_reg_mse,out_reg_mape,out_cat_auc,out_cat_catAcc,out_cat_TP,out_cat_TN,out_cat_FP,out_cat_FN,
QCOM,0,0:09:25.419011,3.4797678369606655,0.03676239773631096,0.6880922317504883,0.036081425845623016,49.987648010253906,0.5477832555770874,0.5477832555770874,556.0,556.0,459.0,459.0,3.4733772981516333,0.00814107,0.6930714,0.008138725,145.36429,0.56058586,0.5516137,2239.0,2239.0,1820.0,1820.0,
QQQ,0,0:09:39.711297,3.3272513915752544,0.11002443730831146,0.6434401273727417,0.10839021950960159,75.51271057128906,0.7931034564971924,0.7931034564971924,805.0,805.0,210.0,210.0,3.389034152354005,0.0049478915,0.6768207,0.0049500614,141.921,0.5926971,0.5952205,2416.0,2416.0,1643.0,1643.0,
SBUX,0,0:09:53.564296,3.4317393356943366,0.1513068825006485,0.6570526361465454,0.1506309062242508,76.25174713134766,0.6354680061340332,0.6354680061340332,645.0,645.0,370.0,370.0,3.42839443692435,0.012105499,0.68320143,0.012108828,220.6808,0.5738413,0.5792067,2351.0,2351.0,1708.0,1708.0,
SLB,0,0:10:07.994296,3.544280004501343,0.04103618487715721,0.7007960677146912,0.040572576224803925,200.79396057128906,0.5024630427360535,0.5024630427360535,510.0,510.0,505.0,505.0,3.536394513690081,0.066597626,0.6939359,0.0666133,195.1713,0.5286759,0.52944076,2149.0,2149.0,1910.0,1910.0,
T,0,0:10:21.925298,3.5924007124501496,0.22944651544094086,0.6728207468986511,0.22975003719329834,59.206050872802734,0.6157635450363159,0.6157635450363159,625.0,625.0,390.0,390.0,3.4792400748602246,0.034409255,0.68891126,0.034398522,110.24883,0.5547848,0.54619366,2217.0,2217.0,1842.0,1842.0,
TNA,0,0:10:29.613811,3.4354353291647777,0.11456974595785141,0.6658664345741272,0.1178089827299118,56.124839782714844,0.6214286088943481,0.6214285492897034,348.0,348.0,212.0,212.0,3.4120052353207106,0.026454322,0.6770725,0.026455177,97.90934,0.5965376,0.59231114,1325.0,1325.0,912.0,912.0,
TWLO,0,0:10:32.158807,3.3986120411519254,0.024611614644527435,0.6800757050514221,0.019483208656311035,34.453277587890625,0.601123571395874,0.601123571395874,107.0,107.0,71.0,71.0,3.2695471362771706,0.01438974,0.65191984,0.01461227,605.7348,0.63316905,0.64880115,460.0,460.0,249.0,249.0,
TWTR,0,0:10:36.869807,3.5012756793729722,0.011705792509019375,0.6976549029350281,0.01197142619639635,27.975318908691406,0.40645161271095276,0.40645161271095276,126.0,126.0,184.0,184.0,3.521765900891735,0.02675588,0.6989291,0.02675503,250.26399,0.51446867,0.51333874,635.0,635.0,602.0,602.0,
TXN,0,0:10:51.501810,3.4937877370806163,0.1349073350429535,0.6722506880760193,0.1337682008743286,77.14632415771484,0.6492610573768616,0.6492610573768616,659.0,659.0,356.0,356.0,3.4676097241726143,0.003992,0.6927059,0.0039909603,135.51448,0.53049445,0.52870166,2146.0,2146.0,1913.0,1913.0,
TZA,0,0:10:59.770808,3.178701761790684,0.0001855904411058873,0.6328463554382324,0.00018549073138274252,5900.119140625,0.6678571701049805,0.6678571701049805,374.0,374.0,186.0,186.0,3.302923765574708,0.0014236299,0.6602792,0.0014249663,1670.9781,0.6381037,0.6186857,1384.0,1384.0,853.0,853.0,
USB,0,0:11:14.308811,3.5468544222451195,0.18656399846076965,0.6723399758338928,0.18756915628910065,58.90611267089844,0.6029556393623352,0.6029556393623352,612.0,612.0,403.0,403.0,3.4967512975745847,0.022691552,0.69480896,0.022692561,77.32314,0.55302584,0.5587583,2268.0,2268.0,1791.0,1791.0,
V,0,0:11:22.678400,2.8882523899527914,0.1976277232170105,0.5364697575569153,0.19440194964408875,70.05247497558594,0.7794612646102905,0.7794612646102905,463.0,463.0,131.0,131.0,3.1896027329596732,0.015405371,0.6332918,0.015397818,315.82312,0.66646147,0.6714406,1594.0,1594.0,780.0,780.0,
VER,0,0:11:25.988400,3.465523806388068,0.07761438190937042,0.6773362159729004,0.07784471660852432,92.32514953613281,0.5964125394821167,0.5964125394821167,133.0,133.0,90.0,90.0,3.3445153434624832,0.027084516,0.6634914,0.027162796,27.839115,0.62739044,0.63820225,568.0,568.0,322.0,322.0,
VOD,0,0:11:41.449399,3.605232908455609,0.11297894269227982,0.698256254196167,0.11383485049009323,41.56324768066406,0.4443349838256836,0.4443349838256836,451.0,451.0,564.0,564.0,3.4957158009857343,0.05735817,0.68768376,0.057363898,112.71826,0.56636024,0.55432373,2250.0,2250.0,1809.0,1809.0,
VZ,0,0:11:55.922401,3.7104027616566624,0.24585941433906555,0.6931424736976624,0.24478934705257416,64.62084197998047,0.50935959815979,0.50935959815979,517.0,517.0,498.0,498.0,3.4971783670424004,0.028612884,0.6936971,0.028608073,94.026436,0.50911653,0.5124415,2080.0,2080.0,1979.0,1979.0,
WBA,0,0:12:10.290214,3.8689588603127767,0.20243509113788605,0.7318559288978577,0.20407691597938538,60.021095275878906,0.4798029661178589,0.4798029661178589,487.0,487.0,528.0,528.0,3.459470054615187,0.04887462,0.6821319,0.04887726,94.89733,0.57986546,0.57822126,2347.0,2347.0,1712.0,1712.0,
WFC,0,0:12:24.656212,3.738145125205881,0.20346516370773315,0.7068860530853271,0.20514702796936035,57.06134796142578,0.5399014949798584,0.5399014949798584,548.0,548.0,467.0,467.0,3.4271324499101583,0.033135463,0.678772,0.033151492,66.899475,0.5875984,0.5922641,2404.0,2404.0,1655.0,1655.0,
WMT,0,0:12:39.311735,3.5950625116601955,0.1581752449274063,0.6879190802574158,0.1562744677066803,72.59603118896484,0.5773398876190186,0.5773398876190186,586.0,586.0,429.0,429.0,3.490883835609043,0.009991078,0.6961933,0.009992309,100.87925,0.5099379,0.50554323,2052.0,2052.0,2007.0,2007.0,
WPM,0,0:12:42.205735,3.429118784347383,0.07477710396051407,0.6568366885185242,0.06180337071418762,42.14128112792969,0.5990098714828491,0.5990098714828491,121.0,121.0,81.0,81.0,3.391899059067911,0.0066603892,0.67845875,0.0067467964,28.24675,0.5959939,0.6106965,491.0,491.0,313.0,313.0,
WU,0,0:12:51.340249,3.5911801133019994,0.07970469444990158,0.7022675275802612,0.07932710647583008,37.54820251464844,0.5142428874969482,0.5142428874969482,343.0,343.0,324.0,324.0,3.4283582717403656,0.013753019,0.6824839,0.0137533005,46.051483,0.5641885,0.5772114,1540.0,1540.0,1128.0,1128.0,
XOM,0,0:13:05.641248,3.61294575794577,0.17307943105697632,0.6878381371498108,0.17454124987125397,49.1077766418457,0.5527093410491943,0.5527093410491943,561.0,561.0,454.0,454.0,3.448048486413554,0.07902221,0.67380875,0.07903037,169.94939,0.59993714,0.60064054,2438.0,2438.0,1621.0,1621.0,
ZNGA,0,0:13:11.799248,3.362006288693275,0.061579979956150055,0.660688042640686,0.05765553191304207,69.3383560180664,0.7580246925354004,0.7580246925354004,307.0,307.0,98.0,98.0,3.4823859725827115,0.0116044665,0.6939702,0.011683986,131.07611,0.4980053,0.49474335,800.0,800.0,817.0,817.0,
ABBV,1,0:13:16.667248,3.3689377098515756,0.050763342529535294,0.6506198048591614,0.042699139565229416,33.16518783569336,0.6175637245178223,0.6175637245178223,218.0,218.0,135.0,135.0,3.436471662934238,0.039310437,0.6867006,0.038727913,62.32151,0.5859216,0.58623135,826.0,826.0,583.0,583.0,
ABT,1,0:13:30.343248,3.4706092524411054,0.13280591368675232,0.6689701080322266,0.1311781406402588,71.2229995727539,0.6206896305084229,0.6206896305084229,630.0,630.0,385.0,385.0,3.4366442173330265,0.008398313,0.6856511,0.008402509,106.10327,0.5639854,0.5683666,2307.0,2307.0,1752.0,1752.0,
ALL,1,0:13:44.939248,3.373626922504068,0.1832735687494278,0.6389592885971069,0.18282510340213776,68.88105010986328,0.6768472790718079,0.6768472790718079,687.0,687.0,328.0,328.0,3.4351185816618925,0.009426349,0.68517536,0.009424244,75.466644,0.5703471,0.5723084,2323.0,2323.0,1736.0,1736.0,
AMZN,1,0:14:00.251249,3.417865720288507,0.14562281966209412,0.6542203426361084,0.1428097039461136,89.93350982666016,0.6729063987731934,0.6729063987731934,683.0,683.0,332.0,332.0,3.4417808862941315,0.002469781,0.6878487,0.0024714964,529.0346,0.5578824,0.5516137,2239.0,2239.0,1820.0,1820.0,
BA,1,0:14:15.431248,3.635471607546501,0.2921275198459625,0.668408989906311,0.29381197690963745,80.10197448730469,0.6551724076271057,0.6551724076271057,665.0,665.0,350.0,350.0,3.392736567684981,0.0056855087,0.6774407,0.0056862067,200.99411,0.59819657,0.59398866,2411.0,2411.0,1648.0,1648.0,
BABA,1,0:14:19.258248,3.0645811091688344,0.0721164122223854,0.590609610080719,0.06538126617670059,45.87618637084961,0.7518796920776367,0.7518796920776367,200.0,200.0,66.0,66.0,3.357813903263637,0.034692198,0.6645191,0.034885656,380.38412,0.62866753,0.63251877,673.0,673.0,391.0,391.0,
BAC,1,0:14:33.683774,3.4841454881752654,0.04506967216730118,0.6878530979156494,0.045182034373283386,33.79222106933594,0.6068965196609497,0.6068965792655945,616.0,616.0,399.0,399.0,3.5233812310420167,0.052196205,0.69422483,0.052199576,79.17688,0.5240332,0.5198325,2110.0,2110.0,1949.0,1949.0,
