Saved Metrics:
Look Back = 120
Prediction Length = 15
MeanSquaredError = 'mse'
MeanAbsolutePercentageError = 'mape'
AUC = 'auc'
TruePositives = 'TP'
TrueNegatives = 'TN'
FalsePositives = 'FP'
FalseNegatives = 'FN'
CategoricalAccuracy = 'catAcc'
-------------------------------------


,,,training performance
ticker,itteration,run time,val_loss,val_out_open_loss,val_out_high_loss,val_out_low_loss,val_out_close_loss,val_out_vol_loss,val_out_cat_loss,val_out_open_mse,val_out_open_mape,val_out_high_mse,val_out_high_mape,val_out_low_mse,val_out_low_mape,val_out_close_mse,val_out_close_mape,val_out_vol_mse,val_out_vol_mape,val_out_cat_auc,val_out_cat_catAcc,val_out_cat_TP,val_out_cat_TN,val_out_cat_FP,val_out_cat_FN,loss,out_open_loss,out_high_loss,out_low_loss,out_close_loss,out_vol_loss,out_cat_loss,out_open_mse,out_open_mape,out_high_mse,out_high_mape,out_low_mse,out_low_mape,out_close_mse,out_close_mape,out_vol_mse,out_vol_mape,out_cat_auc,out_cat_catAcc,out_cat_TP,out_cat_TN,out_cat_FP,out_cat_FN,learning_rate
ABBV,0,2022-06-11 13:45:11.962762,1.1607958259004536,0.07678178697824478,0.10024008899927139,0.09522195160388947,0.10467850416898727,0.08989256620407104,0.7134836912155151,0.07165392488241196,126.71812438964844,0.10201302915811539,75.83040618896484,0.08765335381031036,97.1447982788086,0.10019756853580475,117.28874969482422,0.09248712658882141,243.8511505126953,0.4776820242404938,0.021645022556185722,1520.0,230.0,1426.0,289.0,2.0859192283327843,0.29403496,0.3913413,0.2814852,0.31305677,0.10295262,0.6922549,0.2964513,159980.0,0.3948837,136.87914,0.283508,149.38388,0.31547064,81.99958,0.10324586,797.39453,0.50735086,0.020446097,7869.0,4588.0,5516.0,6237.0,1e-04
ABT,0,2022-06-11 13:46:21.007404,0.9231463686519901,0.0572480671107769,0.05478407070040703,0.06186317279934883,0.059971388429403305,0.04095635563135147,0.6495213508605957,0.05688774213194847,20.235797882080078,0.05448279529809952,18.650012969970703,0.0614643469452858,22.29563331604004,0.059605225920677185,20.483400344848633,0.040716685354709625,145.21022033691406,0.5034971833229065,0.013245033100247383,6435.0,0.0,2625.0,0.0,1.018876893099085,0.06555183,0.068028465,0.07014605,0.07161443,0.055358198,0.688258,0.06553226,126906.93,0.06800933,23229.309,0.070124336,129306.68,0.07159389,44222.758,0.055351395,272.26102,0.4646405,0.018711511,35364.0,446.0,26929.0,591.0,1e-04
ALL,0,2022-06-11 13:47:29.541990,0.9016576365919302,0.048002131283283234,0.04644514247775078,0.053098827600479126,0.05173890292644501,0.04298420250415802,0.6580039858818054,0.04808402433991432,96.7630386352539,0.04655563458800316,86.01187896728516,0.053167179226875305,80.03213500976562,0.05182819440960884,84.07698059082031,0.04306383058428764,200.8758544921875,0.46615085005760193,0.011589404195547104,5910.0,0.0,3150.0,0.0,0.9792881190409767,0.059625424,0.058765043,0.06568916,0.064066276,0.04906425,0.682102,0.059618816,118.58944,0.058758266,4232.0327,0.06568476,90918.625,0.064061835,104.900444,0.049064618,320.6558,0.50327826,0.01657982,36570.0,0.0,26760.0,0.0,1e-04
AMZN,0,2022-06-11 13:48:38.381074,0.8335250091079055,0.038783323019742966,0.03896445780992508,0.0399802029132843,0.04033651575446129,0.03800952807068825,0.6365388035774231,0.03887837752699852,31.017494201660156,0.03908209875226021,28.2738037109375,0.04005115106701851,85.3552474975586,0.04044264554977417,40.36149978637695,0.038137286901474,259.13629150390625,0.46977561712265015,0.19536423683166504,6501.0,0.0,2559.0,0.0,0.969376904769059,0.061019175,0.0638911,0.06216094,0.06489675,0.032665122,0.68472844,0.061024934,6688.3506,0.06389637,30668.844,0.062166553,50778.9,0.06490171,43376.973,0.032669455,268.43295,0.5125634,0.047370914,35709.0,0.0,27621.0,0.0,1e-04
BA,0,2022-06-11 13:49:46.799994,0.9049893459736906,0.04533619433641434,0.044782694429159164,0.0491667278110981,0.0474337562918663,0.08749185502529144,0.6297279000282288,0.045597758144140244,38.470733642578125,0.04503210261464119,33.266136169433594,0.04945451021194458,41.34123611450195,0.04771006479859352,39.423492431640625,0.0878184363245964,285.7163391113281,0.5763835310935974,0.04139072820544243,6240.0,0.0,2820.0,0.0,0.9131723154443862,0.046928547,0.048251133,0.04994234,0.050465673,0.045363832,0.6722262,0.046926904,99.56282,0.048249647,107.628746,0.049941506,54141.227,0.050464604,28671.152,0.045366243,311.4666,0.5009544,0.043344386,38355.0,0.0,24975.0,0.0,1e-04
BABA,0,2022-06-11 13:50:07.482255,0.8948195723236584,0.04827405884861946,0.049031537026166916,0.045738786458969116,0.04884640499949455,0.08750393241643906,0.6362772583961487,0.04839206486940384,32.77763748168945,0.04919394478201866,27.182310104370117,0.0457170270383358,124.10076904296875,0.04908590763807297,31.789016723632812,0.07703414559364319,164.87728881835938,0.5356140732765198,0.02185792289674282,1867.0,0.0,878.0,0.0,0.8599148161557256,0.0432035,0.04235911,0.04479868,0.044499557,0.038501434,0.6468438,0.04315548,126.010376,0.04232228,65.039986,0.044750087,133.83159,0.044457342,95.20828,0.038565405,372.70575,0.5447086,0.06122449,12414.0,0.0,6696.0,0.0,1e-04
BAC,0,2022-06-11 13:51:15.879012,0.9362538547705341,0.051385339349508286,0.04930582642555237,0.055076368153095245,0.05338131636381149,0.040999267250299454,0.6846254467964172,0.051644906401634216,68.25243377685547,0.04956004396080971,57.23054504394531,0.05534893274307251,94.96676635742188,0.05365591496229172,125.79585266113281,0.04098350554704666,230.39559936523438,0.5142279267311096,0.03642383962869644,5145.0,0.0,3915.0,0.0,0.9491248248257043,0.045234762,0.04565122,0.048533604,0.048933055,0.066380955,0.6943789,0.045235284,13860.22,0.04565249,30190.936,0.048532564,63399.71,0.048933484,55102.79,0.0663931,227.30057,0.50690573,0.19374704,33957.0,1.0,29372.0,0.0,1e-04
BMY,0,2022-06-11 13:52:23.776908,0.9520059681886079,0.04710064083337784,0.05075617879629135,0.051168039441108704,0.05182034894824028,0.06060481816530228,0.689740002155304,0.047247063368558884,20014.923828125,0.05091371759772301,75.15884399414062,0.05132908374071121,198.2162628173828,0.0519726499915123,31025.548828125,0.06087957322597504,1010.880615234375,0.4327012598514557,0.4089404046535492,5025.0,0.0,4035.0,0.0,0.9470472976191244,0.047738653,0.049483944,0.049805585,0.050884917,0.061371874,0.68776137,0.047740266,34810.9,0.049485248,100500.25,0.04980567,333901.34,0.050886363,14517.489,0.061371904,252.24455,0.48222455,0.16106111,35321.0,6.0,27999.0,4.0,1e-04
BP,0,2022-06-11 13:53:32.313761,0.9108182401057111,0.044314347207546234,0.044301245361566544,0.048687148839235306,0.04707548767328262,0.03929964452981949,0.6864862442016602,0.04451986774802208,60.28561019897461,0.04450225085020065,204693.34375,0.04893261566758156,71.34908294677734,0.047301530838012695,77.36934661865234,0.039246924221515656,189.90870666503906,0.5673425793647766,0.6539735198020935,4691.0,640.0,3020.0,709.0,0.9670977593597673,0.050601017,0.04980942,0.052967325,0.052081957,0.071061626,0.6905275,0.050607763,37784.836,0.04981609,16528.895,0.052975252,25822.225,0.052089497,13337.814,0.071082935,219.23305,0.51706266,0.17148271,33621.0,133.0,29497.0,79.0,1e-04
BX,0,2022-06-11 13:54:16.264602,0.9533748264165268,0.05254807323217392,0.04882420599460602,0.058914609253406525,0.052313949912786484,0.05663101375102997,0.6705198287963867,0.05416513606905937,103.9028549194336,0.050144921988248825,67.78514862060547,0.06097107753157616,140.9349365234375,0.054216597229242325,87.99275970458984,0.05994036793708801,422.5494079589844,0.4867289066314697,0.2835051417350769,3840.0,14.0,1956.0,10.0,0.9012454998009319,0.040860154,0.04136843,0.04401636,0.043331053,0.040294617,0.69119215,0.04090264,13184.621,0.04140895,17645.283,0.04406661,47494.555,0.043378588,32860.297,0.040345803,238.9573,0.49464983,0.42878228,20628.0,1074.0,17673.0,1275.0,1e-04
