Saved Metrics:
Look Back = 120
Prediction Length = 15
MeanSquaredError = 'mse'
MeanAbsolutePercentageError = 'mape'
AUC = 'auc'
TruePositives = 'TP'
TrueNegatives = 'TN'
FalsePositives = 'FP'
FalseNegatives = 'FN'
CategoricalAccuracy = 'catAcc'
-------------------------------------


,,,training performance
ticker,itteration,run time,val_loss,val_out_open_loss,val_out_high_loss,val_out_low_loss,val_out_close_loss,val_out_vol_loss,val_out_cat_loss,val_out_open_mse,val_out_open_mape,val_out_high_mse,val_out_high_mape,val_out_low_mse,val_out_low_mape,val_out_close_mse,val_out_close_mape,val_out_vol_mse,val_out_vol_mape,val_out_cat_auc,val_out_cat_catAcc,val_out_cat_TP,val_out_cat_TN,val_out_cat_FP,val_out_cat_FN,loss,out_open_loss,out_high_loss,out_low_loss,out_close_loss,out_vol_loss,out_cat_loss,out_open_mse,out_open_mape,out_high_mse,out_high_mape,out_low_mse,out_low_mape,out_close_mse,out_close_mape,out_vol_mse,out_vol_mape,out_cat_auc,out_cat_catAcc,out_cat_TP,out_cat_TN,out_cat_FP,out_cat_FN,learning_rate
CSCO,0,2022-06-11 13:55:24.837755,0.9051336247399943,0.05391443520784378,0.05544570833444595,0.05632968246936798,0.05781637877225876,0.03532247990369797,0.6452856063842773,0.05420646443963051,83.51446533203125,0.05575587600469589,22.51119041442871,0.05663139000535011,35.98783874511719,0.05813625082373619,28.72873306274414,0.03463705629110336,97.00716400146484,0.4803430438041687,0.11589404195547104,6510.0,3.0,2532.0,15.0,0.9018425338926727,0.04319994,0.043914277,0.045341656,0.046484366,0.03399551,0.6888896,0.043204103,74241.734,0.043918416,121285.25,0.045346107,134005.4,0.04648881,24208.838,0.03399634,178.2318,0.53019667,0.19161534,33999.0,162.0,29088.0,81.0,1e-04
CVX,0,2022-06-11 13:56:33.146248,0.9153224932436912,0.05325012281537056,0.05266882851719856,0.056037601083517075,0.05639685317873955,0.03943962976336479,0.6563478708267212,0.05330028384923935,78.33306121826172,0.052746910601854324,191.81939697265625,0.05612258240580559,418846.90625,0.0564810074865818,195.2174072265625,0.03965593874454498,1726.548828125,0.4817185699939728,0.10430463403463364,5985.0,4.0,3071.0,0.0,0.9213677697247208,0.04726006,0.047284264,0.051745664,0.05105751,0.04693911,0.6771397,0.047251552,16473.924,0.047274284,63.038216,0.05173767,28429.541,0.05104845,46981.848,0.046928003,124.396835,0.52136195,0.15679772,37191.0,22.0,26093.0,24.0,1e-04
DAL,0,2022-06-11 13:57:17.513554,1.2142907697327283,0.09102248400449753,0.08532579243183136,0.10844913870096207,0.09984131157398224,0.1364056020975113,0.6970259547233582,0.0958397313952446,85.20547485351562,0.08951015770435333,176971.890625,0.11439069360494614,408.4658508300781,0.10500814765691757,151.87681579589844,0.11912413686513901,222.21414184570312,0.47682294249534607,0.18367347121238708,3186.0,30.0,2645.0,19.0,0.9203802263588693,0.045061402,0.047051635,0.04768175,0.048761234,0.044719234,0.6875113,0.04496267,29794.092,0.046926342,124993.36,0.047579862,282369.06,0.048652705,196189.4,0.044779066,205.84978,0.5064191,0.28232285,22699.0,7.0,18364.0,0.0,1e-04
DD,0,2022-06-11 13:58:25.349875,1.2047403285045497,0.09445555508136749,0.09370698034763336,0.0987931340932846,0.09850724786520004,0.13338567316532135,0.6865949630737305,0.0941367894411087,107.76069641113281,0.09331879019737244,30216.712890625,0.09856518357992172,125.1195297241211,0.0982457771897316,50637.2578125,0.13373395800590515,163.46778869628906,0.4100663959980011,0.27649006247520447,5162.0,29.0,3843.0,26.0,0.9153580159047722,0.045107763,0.04533894,0.04803808,0.0489036,0.040358957,0.6875899,0.045112804,17248.014,0.045345034,11047.296,0.048043314,6121.3643,0.048909836,44923.176,0.04036591,466.22894,0.5307039,0.26977736,34606.0,73.0,28607.0,44.0,1e-04
DIS,0,2022-06-11 13:59:33.678798,0.9462260177593358,0.05570648983120918,0.05752722918987274,0.05512695014476776,0.05749376118183136,0.043123096227645874,0.6747970581054688,0.056014616042375565,70.96814727783203,0.05785994976758957,59.58753967285156,0.055431246757507324,70.3379135131836,0.05781815946102142,79.09893798828125,0.04335504770278931,180.54225158691406,0.4591512680053711,0.17715232074260712,5547.0,14.0,3484.0,15.0,0.9277218458834331,0.03982739,0.03894381,0.04331767,0.042026088,0.0810034,0.682523,0.039836515,41233.3,0.03895242,139875.23,0.04332803,92048.766,0.04203559,157600.33,0.08103163,204.82565,0.52557385,0.28564662,36019.0,55.0,27217.0,39.0,1e-04
EBAY,0,2022-06-11 14:00:41.729520,0.8753898530606402,0.040157172828912735,0.04297865182161331,0.040109697729349136,0.041278690099716187,0.024339400231838226,0.6855956315994263,0.040315430611371994,13213.45703125,0.04317145794630051,49261.34375,0.040251970291137695,32533.60546875,0.04144845902919769,91.69774627685547,0.024453263729810715,181.4306640625,0.5754514336585999,0.22847682237625122,4952.0,90.0,3945.0,73.0,0.9130157426543171,0.04434489,0.046029996,0.046288814,0.047852397,0.037711628,0.6907797,0.044345383,154407.7,0.046030547,67485.21,0.046288922,54319.27,0.047852375,3393.4573,0.037716664,176.19034,0.50712264,0.27877784,33730.0,300.0,29013.0,287.0,1e-04
FB,0,2022-06-11 14:01:09.881899,0.8375255697702308,0.05758357793092728,0.05176761373877525,0.06398294866085052,0.05849866569042206,0.05318424105644226,0.5513516068458557,0.058652155101299286,66.7518539428711,0.052603963762521744,57.6284294128418,0.06527063995599747,49.64263153076172,0.05956055968999863,59.18685531616211,0.054380618035793304,96.22632598876953,0.4354075789451599,0.01606425642967224,3165.0,0.0,570.0,0.0,0.8598580544445372,0.040706027,0.040924434,0.042255662,0.042526968,0.030933494,0.661435,0.041046094,122959.7,0.041277755,93.79204,0.042589236,34725.715,0.04286793,12491.077,0.031048309,230.09686,0.49211183,0.21486175,16924.0,26.0,9064.0,26.0,1e-04
GE,0,2022-06-11 14:02:17.942706,0.9162738729786399,0.04157190024852753,0.04356606677174568,0.042594458907842636,0.04405171424150467,0.044051393866539,0.6992954015731812,0.04179428517818451,356203.3125,0.04380479454994202,617739.8125,0.042820122092962265,63932.6875,0.04429259151220322,115177.453125,0.04425762966275215,223.00140380859375,0.48741647601127625,0.20364238321781158,3128.0,693.0,4668.0,571.0,0.9131417118616434,0.03973309,0.040039297,0.043416813,0.04313344,0.050891843,0.69588864,0.0397385,56586.246,0.04004506,23098.246,0.043422822,42370.027,0.043139208,94621.88,0.05090213,187.97746,0.52248996,0.23330176,23654.0,9223.0,22600.0,7853.0,1e-04
GPRO,0,2022-06-11 14:02:39.165899,1.0501622787859075,0.06384270638227463,0.07311940938234329,0.06136326864361763,0.07024998217821121,0.053724486380815506,0.7281496524810791,0.06382293999195099,24.59899139404297,0.07315507531166077,23.78546714782715,0.06133853644132614,27.051679611206055,0.07025878131389618,25.740753173828125,0.05409576743841171,482.93438720703125,0.6452670097351074,0.5026454925537109,296.0,570.0,45.0,1924.0,0.8574610966610963,0.033784192,0.036749728,0.03311384,0.035385072,0.035832006,0.68863827,0.032432575,161032.92,0.035062462,110525.695,0.031971525,372743.66,0.033999637,76045.54,0.03563665,281.5035,0.58238137,0.20590462,6545.0,4792.0,5446.0,3032.0,1e-04
HD,0,2022-06-11 14:03:47.558496,0.8728609073241025,0.03806279972195625,0.03870787471532822,0.03930119797587395,0.04043136537075043,0.03111237660050392,0.6838783025741577,0.03819788619875908,64.9792251586914,0.03885440528392792,136.1786651611328,0.039425238966941833,120.07079315185547,0.040578704327344894,71.15413665771484,0.031106285750865936,157.36907958984375,0.4462975263595581,0.443708598613739,5183.0,12.0,3843.0,22.0,0.9010904118213988,0.041955788,0.041914996,0.045464788,0.044901572,0.040524114,0.6863064,0.04195779,19674.445,0.041916955,28362.924,0.04546415,15116.68,0.04490396,5648.3413,0.040523417,350.88083,0.52457035,0.42302227,30614.0,4060.0,23525.0,5131.0,1e-04
INTC,0,2022-06-11 14:04:55.880010,0.962149099798392,0.05847807973623276,0.06033530458807945,0.05831984430551529,0.06210554391145706,0.03528520092368126,0.6859519481658936,0.058783937245607376,77.94673919677734,0.06066858023405075,13019.0126953125,0.05861195921897888,257.636962890625,0.062437158077955246,29290.794921875,0.03541726619005203,134.97805786132812,0.4722282886505127,0.36092716455459595,4952.0,350.0,3085.0,673.0,0.9135582609122423,0.043572683,0.044842698,0.045155853,0.04743885,0.042177353,0.6903732,0.04357146,41572.316,0.044842303,73865.49,0.045154728,59754.37,0.04743818,29747.6,0.042178523,183.9498,0.5331797,0.28825203,31350.0,2325.0,28008.0,1647.0,1e-04
JD,0,2022-06-11 14:05:17.468298,0.8568007946014404,0.03834037110209465,0.041737575083971024,0.036810290068387985,0.04020838066935539,0.03050931543111801,0.6691948771476746,0.03834037110209465,14.530718803405762,0.041737575083971024,14.390704154968262,0.036810290068387985,15.336105346679688,0.04020838066935539,14.811023712158203,0.03050931543111801,171.8938751220703,0.3743392825126648,0.328125,1811.0,0.0,1069.0,0.0,0.8538340992496652,0.03378907,0.034673233,0.034724515,0.035249952,0.04030208,0.6750344,0.033773,206206.95,0.03465158,101.28293,0.03470523,22631.422,0.03522998,17907.473,0.04032518,448.244,0.534751,0.34951457,11863.0,314.0,7656.0,252.0,1e-04
JPM,0,2022-06-11 14:06:26.199307,0.9142766788305826,0.04607728496193886,0.0455484576523304,0.049121566116809845,0.04891057312488556,0.03172103315591812,0.6918317079544067,0.04623352363705635,74.04121398925781,0.04570138454437256,46.31589126586914,0.04927973821759224,80.07388305664062,0.049077678471803665,66.89857482910156,0.03175002336502075,154.98194885253906,0.5175750255584717,0.2334437072277069,4659.0,93.0,4152.0,156.0,0.9003487427276438,0.04063513,0.04095653,0.043912712,0.04384528,0.044455793,0.6865467,0.04063539,3146.25,0.040956818,3468.1057,0.04391399,48761.85,0.043846022,37290.01,0.044452544,359.39728,0.5182243,0.26811936,34642.0,507.0,27876.0,305.0,1e-04
KHC,0,2022-06-11 14:06:44.186736,0.838860023021698,0.031589411199092865,0.033247970044612885,0.03390573710203171,0.03426803648471832,0.02446870505809784,0.6813801527023315,0.031589411199092865,21.72324562072754,0.033247970044612885,20.969593048095703,0.03390573710203171,24.326318740844727,0.03426803648471832,22.742958068847656,0.02446870505809784,187.2504425048828,0.48108378052711487,0.46875,1416.0,20.0,862.0,102.0,0.9674149005272308,0.044268038,0.045389432,0.046538956,0.047832157,0.09070066,0.6927291,0.044244673,41071.453,0.04537019,48284.547,0.04651018,5534.588,0.047809336,24902.602,0.0907723,258.86652,0.5245608,0.1824687,8131.0,553.0,7619.0,467.0,1e-04
KO,0,2022-06-11 14:07:52.738098,0.8828854292433783,0.04534970223903656,0.04639285057783127,0.049923937767744064,0.04997313395142555,0.04620525240898132,0.6445872783660889,0.04523877426981926,172.68482971191406,0.0462636761367321,49.95984649658203,0.04985704645514488,81.62370300292969,0.04990255460143089,156.27587890625,0.04640156403183937,3464.89208984375,0.43282055854797363,0.503311276435852,6439.0,10.0,2591.0,20.0,0.8900824621468006,0.03862402,0.039352965,0.041699756,0.0425151,0.044669583,0.6831844,0.038632587,157966.11,0.039361347,20117.17,0.04170954,12464.241,0.042524878,21214.014,0.04467662,34963.742,0.5131601,0.32046422,35769.0,330.0,26844.0,387.0,1e-04
KR,0,2022-06-11 14:09:00.851482,0.9913538252281038,0.05042425915598869,0.05226471647620201,0.05229448154568672,0.053083088248968124,0.08864302933216095,0.6940642595291138,0.050452228635549545,11613.4423828125,0.05229125916957855,56932.01953125,0.052341707050800323,138311.84375,0.0531228743493557,35977.03125,0.08909843116998672,133.9310760498047,0.4738115072250366,0.2102649062871933,4725.0,69.0,4191.0,75.0,0.9025885456831519,0.04193902,0.042602025,0.04449973,0.045073263,0.042907715,0.6855806,0.041939694,69239.03,0.04260174,105281.63,0.044499673,181025.53,0.045072854,231085.5,0.042887,202.47029,0.50649494,0.33964947,35208.0,276.0,27609.0,237.0,1e-04
MRK,0,2022-06-11 14:10:09.149053,0.9917882688787599,0.0657818466424942,0.06594818830490112,0.06971073150634766,0.07058671861886978,0.044565748423337936,0.674262523651123,0.06595120579004288,208145.0625,0.06609752029180527,63.52445983886719,0.06989067047834396,147253.546875,0.07076429575681686,64.89495849609375,0.0444197840988636,173.59683227539062,0.5211725234985352,0.2947019934654236,5523.0,48.0,3429.0,60.0,1.0178214263035075,0.05380811,0.05562072,0.05754255,0.058090236,0.10617356,0.68652356,0.053813614,3858.4326,0.055624906,7799.7954,0.057549927,37907.145,0.058095068,13359.54,0.10621018,264.89148,0.5388501,0.29701564,33664.0,1024.0,27766.0,876.0,1e-04
MSFT,0,2022-06-11 14:11:17.177119,0.8705971876517037,0.038604479283094406,0.036712396889925,0.0390155166387558,0.03954226151108742,0.0378476157784462,0.6781252026557922,0.03870789334177971,20.603500366210938,0.03682483360171318,17.385334014892578,0.039093367755413055,63.558685302734375,0.03965378925204277,21.54667854309082,0.03801218420267105,591.885986328125,0.40590226650238037,0.27483442425727844,6090.0,145.0,2075.0,750.0,0.9101370342079355,0.04421324,0.045219146,0.046293423,0.04811411,0.040158696,0.686125,0.044214245,85704.48,0.045220375,135368.4,0.046293743,22297.795,0.04811465,86720.18,0.040161468,345.2205,0.55344653,0.265514,33385.0,1522.0,27593.0,830.0,1e-04
MU,0,2022-06-11 14:12:25.184409,0.9071819924360869,0.04404596611857414,0.04643522575497627,0.04397730901837349,0.04684433341026306,0.03903978690505028,0.6883646845817566,0.043692316859960556,77.30254364013672,0.04603225365281105,97.74471282958984,0.0436222143471241,879.728759765625,0.046444207429885864,9687.5986328125,0.038865648210048676,180.8619842529297,0.5458794236183167,0.3874172270298004,4481.0,383.0,3877.0,319.0,0.8825458123016447,0.03680668,0.03811847,0.03778955,0.039606195,0.03963366,0.6905857,0.03680556,126780.266,0.038116273,123151.04,0.037789505,141522.08,0.039605286,148423.67,0.0396359,189.2924,0.5325148,0.34178114,30180.0,3281.0,27627.0,2242.0,1e-04
NWSA,0,2022-06-11 14:12:49.779694,1.1585093375739701,0.10919947177171707,0.09856082499027252,0.12300407886505127,0.1128472313284874,0.04223302751779556,0.6742847561836243,0.10880831629037857,369932.59375,0.09760406613349915,107.40547943115234,0.12298630177974701,78.8424301147461,0.11240831762552261,88.75494384765625,0.042709726840257645,149.53591918945312,0.6427850723266602,0.34403669834136963,1909.0,216.0,1028.0,117.0,0.928842855728698,0.04854189,0.04878692,0.0506131,0.052305743,0.037575554,0.69061095,0.048655145,59650.184,0.04886911,83.76397,0.050746683,116198.41,0.052434154,39249.992,0.037492253,216.68555,0.5118207,0.25279054,10914.0,1205.0,9716.0,1010.0,1e-04
ORCL,0,2022-06-11 14:13:57.616529,0.925262900377741,0.0554627925157547,0.05502312257885933,0.059031449258327484,0.05843370035290718,0.0267656072974205,0.6703810691833496,0.0555315725505352,12865.94921875,0.05509200319647789,112.640869140625,0.05909448489546776,92.57839965820312,0.05849812924861908,140.6018524169922,0.026524411514401436,299.11859130859375,0.48738759756088257,0.47350993752479553,5830.0,94.0,2957.0,179.0,0.8764237536744787,0.038922746,0.03943625,0.041001026,0.04180317,0.030031975,0.6851964,0.038929205,45014.758,0.03944169,65468.414,0.041008044,149923.66,0.041809164,80466.484,0.030032655,182.33969,0.566596,0.3488868,32103.0,3074.0,26016.0,2137.0,1e-04
PEP,0,2022-06-11 14:15:05.665614,0.8335701487711723,0.03880761191248894,0.037989746779203415,0.043024610728025436,0.04284343495965004,0.046344030648469925,0.623367190361023,0.038928188383579254,13219.4423828125,0.03813427314162254,51.55144119262695,0.043167248368263245,78.1593246459961,0.043010056018829346,53.527870178222656,0.046589840203523636,117.54908752441406,0.580373227596283,0.48013246059417725,6448.0,21.0,2565.0,26.0,0.8934598399360617,0.04132974,0.041093845,0.046455387,0.044952124,0.04324057,0.6765105,0.041310858,79517.37,0.041076723,4064.4968,0.046427585,142.81813,0.04493068,143097.22,0.043194342,149.4236,0.5438815,0.4166272,36809.0,244.0,26081.0,196.0,1e-04
PFE,0,2022-06-11 14:16:13.412063,0.8500316979869312,0.036564990878105164,0.0388997420668602,0.03892844542860985,0.03972455859184265,0.037766117602586746,0.6572293639183044,0.036669306457042694,43.56251525878906,0.03901464864611626,24.451160430908203,0.039049264043569565,64.20335388183594,0.03984605148434639,33.13535690307617,0.03787682205438614,115.6751480102539,0.520036518573761,0.5082781314849854,6004.0,2.0,3001.0,53.0,0.8914860147596365,0.035436105,0.035707787,0.039481938,0.038671628,0.053441003,0.68870604,0.03544256,243464.1,0.035713907,64982.156,0.03949016,28505.406,0.03867879,40671.805,0.05345834,154.68098,0.5250294,0.30270013,33914.0,495.0,28371.0,550.0,1e-04
PM,0,2022-06-11 14:16:54.644771,1.0150607652170456,0.07010050863027573,0.06526481360197067,0.08225207030773163,0.07446855306625366,0.042882319539785385,0.6807477474212646,0.07239817827939987,98.0937728881836,0.06691483408212662,89.46475982666016,0.08520150929689407,130.665771484375,0.07679414004087448,95.34425354003906,0.04411016032099724,88.89496612548828,0.4062146246433258,0.41416892409324646,3451.0,16.0,1969.0,69.0,0.9133611337709315,0.04883471,0.047366507,0.054319482,0.053193193,0.03953968,0.67164195,0.04870429,17103.58,0.04722795,17758.912,0.054219276,102.10861,0.053101122,41884.11,0.039620176,115.43386,0.53953546,0.39127046,22911.0,270.0,15180.0,129.0,1e-04
PYPL,0,2022-06-11 14:17:12.445524,0.6031253165418997,0.023111095651984215,0.022965213283896446,0.02341107465326786,0.023783549666404724,0.025275394320487976,0.48410764336586,0.023028308525681496,12.378384590148926,0.02286919765174389,11.758989334106445,0.023346886038780212,13.137085914611816,0.023704586550593376,12.536670684814453,0.02534368447959423,273.0423278808594,0.48656418919563293,0.2075471729040146,2055.0,0.0,330.0,0.0,0.8226112158420813,0.042871617,0.042044755,0.045351814,0.045633975,0.030754015,0.6158144,0.042937975,40608.56,0.042123396,176512.39,0.0454297,59.384914,0.045714833,41.405838,0.030874131,179.19585,0.538013,0.45364538,11815.0,7.0,4821.0,22.0,1e-04
QCOM,0,2022-06-11 14:18:20.507335,1.098461419146582,0.08271165937185287,0.09195718914270401,0.08265676349401474,0.0897473469376564,0.05141172930598259,0.6978912353515625,0.08313239365816116,6092.9599609375,0.09246277809143066,11390.26953125,0.08303453773260117,98.83604431152344,0.09021419286727905,221.9467315673828,0.05155206844210625,331.008056640625,0.41503626108169556,0.27649006247520447,4732.0,136.0,3989.0,203.0,0.885622615924865,0.039008502,0.039842267,0.041444447,0.042432167,0.038607966,0.68428504,0.039010324,5263.9585,0.03984421,14784.427,0.041446462,10645.407,0.042433962,262394.16,0.03861175,150.13297,0.55225635,0.2933933,35189.0,526.0,27296.0,334.0,1e-04
QQQ,0,2022-06-11 14:19:28.593472,0.772969253015834,0.02781934104859829,0.024799084290862083,0.03228994086384773,0.029966216534376144,0.06048833578824997,0.5966318249702454,0.02790403924882412,34.481689453125,0.024875080212950706,35.51029586791992,0.0323801152408123,57.405460357666016,0.030066167935729027,41.038551330566406,0.06067698448896408,161.8345947265625,0.5102019309997559,0.5397350788116455,6963.0,21.0,2004.0,72.0,0.8634778702820812,0.03625543,0.034219086,0.041135937,0.039204087,0.045954723,0.66670895,0.03625436,27138.379,0.034217354,65477.66,0.041135356,73721.5,0.039202563,55060.22,0.045958504,150.64912,0.55600417,0.3613545,37897.0,527.0,24628.0,293.0,1e-04
