Saved Metrics:,,,,,,,,,,,,,,,,,,,,,,,,
MeanSquaredError = 'mse',,,,,,,,,,,,,,,,,,,,,,,,
MeanAbsolutePercentageError = 'mape',,,,,,,,,,,,,,,,,,,,,,,,
AUC = 'auc',,,,,,,,,,,,,,,,,,,,,,,,
TruePositives = 'TP',,,,,,,,,,,,,,,,,,,,,,,,
TrueNegatives = 'TN',,,,,,,,,,,,,,,,,,,,,,,,
FalsePositives = 'FP',,,,,,,,,,,,,,,,,,,,,,,,
FalseNegatives = 'FN',,,,,,,,,,,,,,,,,,,,,,,,
CategoricalAccuracy = 'catAcc',,,,,,,,,,,,,,,,,,,,,,,,
-------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,training performance,,,,,,,,,,,,,,,,,,,,,
ticker,itteration,elapsed time,val_loss,val_out_reg_loss,val_out_cat_loss,val_out_reg_mse,val_out_reg_mape,val_out_cat_auc,val_out_cat_catAcc,val_out_cat_TP,val_out_cat_TN,val_out_cat_FP,val_out_cat_FN,loss,out_reg_loss,out_cat_loss,out_reg_mse,out_reg_mape,out_cat_auc,out_cat_catAcc,out_cat_TP,out_cat_TN,out_cat_FP,out_cat_FN
ABBV,0,02:41.6,3.396323168,0.048202273,0.649675608,0.044195447,34.69264984,0.609891713,0.617563725,218,218,135,135,6.814723202,1.3683759,1.0703166,1.3967131,143.02798,0.57164776,0.5720369,806,806,603,603
ABT,0,02:55.3,3.489945889,0.148698315,0.669612229,0.14704214,77.0697403,0.620689631,0.620689631,630,630,385,385,3.450030243,0.008438298,0.6882796,0.008443859,102.07924,0.5646217,0.5683666,2307,2307,1752,1752
ALL,0,03:09.4,3.508465622,0.175136432,0.667049348,0.17469795,67.0958786,0.676847279,0.676847279,687,687,328,328,3.431718845,0.010002255,0.6843398,0.010002833,72.77592,0.5684772,0.5723084,2323,2323,1736,1736
AMZN,0,03:22.7,3.486760291,0.143003672,0.668863356,0.140211746,88.84396362,0.672906399,0.672906399,683,683,332,332,3.439009031,0.003389514,0.6871242,0.003390663,616.65576,0.5563359,0.5624538,2283,2283,1776,1776
BA,0,03:36.3,3.568545821,0.291060179,0.65529865,0.292732894,80.0124054,0.648717463,0.655172408,665,665,350,350,3.394675244,0.005782834,0.6777482,0.005780095,195.14084,0.59178835,0.59398866,2411,2411,1648,1648
BABA,0,03:39.9,3.049984161,0.067795873,0.588194549,0.061329268,44.4632988,0.751879692,0.751879692,200,200,66,66,3.331700807,0.036228728,0.66059214,0.03622983,390.13055,0.62926114,0.63251877,673,673,391,391
BAC,0,03:53.5,3.399153432,0.033012912,0.673515081,0.03312834,29.1511879,0.60689652,0.606896579,616,616,399,399,3.525169071,0.051839884,0.6945913,0.05184881,78.17294,0.51332045,0.5124415,2080,2080,1979,1979
BMY,0,04:07.4,3.648944852,0.240172476,0.682478547,0.239510551,68.24571228,0.576354682,0.576354682,585,585,430,430,3.500080871,0.045565158,0.6909421,0.045565497,148.08556,0.55918974,0.5580192,2265,2265,1794,1794
BP,0,04:21.0,3.59139135,0.106121041,0.696833909,0.107019052,42.78084564,0.452216744,0.452216744,459,459,556,556,3.508205954,0.039514955,0.6937398,0.03952515,79.18485,0.5200325,0.5173688,2100,2100,1959,1959
BX,0,04:29.8,3.472733361,0.053807814,0.684139192,0.052803941,65.74351501,0.66085577,0.66085577,417,417,214,214,3.478211593,0.012836379,0.6930616,0.012851509,190.93727,0.51695395,0.5275466,1331,1331,1192,1192
CSCO,0,04:43.8,3.491428076,0.170857579,0.664044619,0.170136377,63.53083801,0.709359646,0.709359586,720,720,295,295,3.483886563,0.015501627,0.6936693,0.015506534,52.968353,0.5206647,0.5183543,2104,2104,1955,1955
CVX,0,04:57.6,3.598236877,0.258612007,0.668108463,0.259488076,59.05448532,0.626600981,0.626600981,636,636,379,379,3.466519171,0.059655216,0.681366,0.059661016,314.39264,0.5769281,0.58536583,2376,2376,1683,1683
DAL,0,05:06.1,3.682131947,0.239515871,0.688430369,0.240204364,55.7429657,0.551724136,0.551724136,352,352,286,286,3.51854213,0.06758363,0.6902079,0.067611955,194.65448,0.54887843,0.5346923,1364,1364,1187,1187
DD,0,05:19.8,3.588057079,0.156122714,0.685398698,0.157397971,61.62652206,0.559605896,0.559605896,568,568,447,447,3.491083973,0.031615265,0.69186515,0.031611532,121.22701,0.5392697,0.52944076,2149,2149,1910,1910
DIS,0,05:33.7,3.553962364,0.143549323,0.682392895,0.14337106,70.35489655,0.574384212,0.574384212,583,583,432,432,3.444338787,0.018631278,0.6850988,0.018635333,188.97568,0.5667783,0.5698448,2313,2313,1746,1746
EBAY,0,05:47.2,3.526484593,0.080860324,0.687746823,0.079563335,63.12665558,0.561576366,0.561576366,570,570,445,445,3.478083865,0.007297115,0.69415474,0.007297024,118.55432,0.52306604,0.5089924,2066,2066,1993,1993
FB,0,05:52.4,3.088632405,0.056356344,0.606455266,0.056356344,47.5822258,0.71875,0.71875,276,276,108,108,3.237894235,0.01998595,0.6435061,0.019994508,146.51312,0.6524868,0.6614481,1014,1014,519,519
GE,0,06:06.0,3.557542069,0.086145632,0.694444597,0.085277498,129.9012146,0.416748762,0.416748762,423,423,592,592,3.527583131,0.036016356,0.6983052,0.036023155,44.51975,0.4800491,0.48731214,1978,1978,2081,2081
GPRO,0,06:09.8,3.472360376,0.024571912,0.690743744,0.024617385,3407.749023,0.553956807,0.553956807,154,154,124,124,3.524187372,0.054108083,0.6940629,0.054372612,228.52893,0.5071857,0.5166517,574,574,537,537
HD,0,06:23.4,3.566436093,0.165661484,0.680308342,0.163857207,81.15003967,0.579310358,0.579310358,588,588,427,427,3.44234742,0.006805911,0.6871592,0.006808345,156.76042,0.5579879,0.55999017,2273,2273,1786,1786
INTC,0,06:37.0,3.561121733,0.202425495,0.672503471,0.200090751,69.45766449,0.656157613,0.656157613,666,666,349,349,3.488727127,0.010777702,0.6955586,0.010774085,97.89658,0.5018323,0.5008623,2033,2033,2026,2026
JD,0,06:41.1,3.120556192,0.01638923,0.61892885,0.015018052,34.05235672,0.717314482,0.717314482,203,203,80,80,3.398944515,0.006759204,0.67833894,0.006739995,218.13147,0.5920792,0.58495575,661,661,469,469
JPM,0,06:55.3,3.575742846,0.162409574,0.682844877,0.162304759,71.20344543,0.582265973,0.582266033,591,591,424,424,3.459037767,0.004633686,0.6908769,0.004632218,91.56378,0.5432309,0.53830993,2185,2185,1874,1874
KHC,0,06:58.7,3.658896647,0.164198041,0.692709506,0.169770628,2038.478394,0.453744501,0.453744501,103,103,124,124,3.584959847,0.11012972,0.69560874,0.1107116,72.76481,0.50366104,0.50276244,455,455,450,450
KO,0,07:12.8,3.493086417,0.241067946,0.651136935,0.240715161,70.07447815,0.652216733,0.652216733,662,662,353,353,3.459442788,0.033768836,0.6851024,0.033776652,267.2023,0.5706804,0.56738114,2303,2303,1756,1756
KR,0,07:27.1,3.602886721,0.122474626,0.696625471,0.121496253,59.03786087,0.53891623,0.53891623,547,547,468,468,3.476947699,0.03882486,0.68762434,0.038843144,113.21024,0.56524366,0.5609756,2277,2277,1782,1782
MRK,0,07:42.4,3.65878174,0.234844044,0.684710026,0.233602718,66.43515778,0.568472862,0.568472922,577,577,438,438,3.469780259,0.015217086,0.69089246,0.015219548,87.566635,0.5452977,0.54668635,2219,2219,1840,1840
MSFT,0,07:58.1,3.276417453,0.093615271,0.636546433,0.091276914,82.35897827,0.767487764,0.767487705,779,779,236,236,3.475182086,0.002263713,0.69460887,0.002265476,114.68388,0.5162935,0.51638335,2096,2096,1963,1963
MU,0,08:12.7,3.523437128,0.076022118,0.689639747,0.075527154,57.38412476,0.589162588,0.589162588,598,598,417,417,3.498780343,0.021327619,0.69547963,0.021340128,142.0521,0.48470992,0.49223948,1998,1998,2061,2061
NWSA,0,08:17.4,3.470870355,0.008717102,0.692636549,0.008796059,108.4602051,0.530303001,0.530303001,175,175,155,155,3.480832457,0.010234269,0.694255,0.010324128,34.49052,0.5031827,0.52279633,688,688,628,628
ORCL,0,08:31.6,3.468120381,0.093312666,0.674511433,0.092891052,62.58886337,0.630541801,0.630541861,640,640,375,375,3.47001003,0.013085488,0.6913869,0.013087978,148.35587,0.5380545,0.5343681,2169,2169,1890,1890
PEP,0,08:45.1,3.525910026,0.191655561,0.667705476,0.190537959,65.72032166,0.6226601,0.6226601,632,632,383,383,3.42752393,0.015287289,0.68237615,0.015281975,74.56501,0.5755883,0.586844,2382,2382,1677,1677
PFE,0,08:58.6,3.572885887,0.145952255,0.68571353,0.146023959,63.67088699,0.587192118,0.587192118,596,596,419,419,3.459339484,0.012464257,0.68937457,0.012465823,135.22533,0.55328745,0.5523528,2242,2242,1817,1817
PM,0,09:07.1,3.422476836,0.037995532,0.678348243,0.038420476,27.58770943,0.595959604,0.595959604,354,354,240,240,3.440864097,0.060273852,0.67636645,0.06038114,198.68288,0.5950782,0.60227275,1431,1431,945,945
PYPL,0,09:10.8,3.237717037,0.053538743,0.59686029,0.039381899,58.55498886,0.680000007,0.680000007,153,153,72,72,3.08141619,0.028914036,0.5999313,0.029779196,255.23044,0.7149846,0.71571904,642,642,255,255
QCOM,0,09:25.4,3.479767837,0.036762398,0.688092232,0.036081426,49.98764801,0.547783256,0.547783256,556,556,459,459,3.473377298,0.00814107,0.6930714,0.008138725,145.36429,0.56058586,0.5516137,2239,2239,1820,1820
QQQ,0,09:39.7,3.327251392,0.110024437,0.643440127,0.10839022,75.51271057,0.793103456,0.793103456,805,805,210,210,3.389034152,0.004947892,0.6768207,0.004950061,141.921,0.5926971,0.5952205,2416,2416,1643,1643
SBUX,0,09:53.6,3.431739336,0.151306883,0.657052636,0.150630906,76.25174713,0.635468006,0.635468006,645,645,370,370,3.428394437,0.012105499,0.68320143,0.012108828,220.6808,0.5738413,0.5792067,2351,2351,1708,1708
SLB,0,10:08.0,3.544280005,0.041036185,0.700796068,0.040572576,200.7939606,0.502463043,0.502463043,510,510,505,505,3.536394514,0.066597626,0.6939359,0.0666133,195.1713,0.5286759,0.52944076,2149,2149,1910,1910
T,0,10:21.9,3.592400712,0.229446515,0.672820747,0.229750037,59.20605087,0.615763545,0.615763545,625,625,390,390,3.479240075,0.034409255,0.68891126,0.034398522,110.24883,0.5547848,0.54619366,2217,2217,1842,1842
TNA,0,10:29.6,3.435435329,0.114569746,0.665866435,0.117808983,56.12483978,0.621428609,0.621428549,348,348,212,212,3.412005235,0.026454322,0.6770725,0.026455177,97.90934,0.5965376,0.59231114,1325,1325,912,912
