Saved Metrics:
Look Back = 120
Prediction Length = 15
MeanSquaredError = 'mse'
MeanAbsolutePercentageError = 'mape'
AUC = 'auc'
TruePositives = 'TP'
TrueNegatives = 'TN'
FalsePositives = 'FP'
FalseNegatives = 'FN'
CategoricalAccuracy = 'catAcc'
-------------------------------------


,,,training performance
ticker,itteration,run time,val_loss,val_out_open_loss,val_out_high_loss,val_out_low_loss,val_out_close_loss,val_out_vol_loss,val_out_cat_loss,val_out_open_mse,val_out_open_mape,val_out_high_mse,val_out_high_mape,val_out_low_mse,val_out_low_mape,val_out_close_mse,val_out_close_mape,val_out_vol_mse,val_out_vol_mape,val_out_cat_auc,val_out_cat_catAcc,val_out_cat_TP,val_out_cat_TN,val_out_cat_FP,val_out_cat_FN,loss,out_open_loss,out_high_loss,out_low_loss,out_close_loss,out_vol_loss,out_cat_loss,out_open_mse,out_open_mape,out_high_mse,out_high_mape,out_low_mse,out_low_mape,out_close_mse,out_close_mape,out_vol_mse,out_vol_mape,out_cat_auc,out_cat_catAcc,out_cat_TP,out_cat_TN,out_cat_FP,out_cat_FN,learning_rate
CSCO,0,2022-06-12 13:30:30.643874,0.9128334672245758,0.054102908819913864,0.055577825754880905,0.056469328701496124,0.057667363435029984,0.036388833075761795,0.651718258857727,0.05439084395766258,86.68578338623047,0.05587777495384216,22.84969139099121,0.0567656084895134,37.29043960571289,0.057979319244623184,29.412338256835938,0.035740677267313004,91.7288589477539,0.5115477442741394,0.12417218834161758,6516.0,0.0,2535.0,9.0,0.903180289415317,0.043563902,0.044201598,0.04557494,0.046752192,0.033512976,0.6895577,0.043568652,83798.29,0.04420616,118074.07,0.045580246,134350.72,0.046756797,35445.15,0.033516515,168.42421,0.52246344,0.13571768,34013.0,99.0,29151.0,67.0,1e-04
CVX,0,2022-06-12 13:31:36.226986,0.9076831246053936,0.050618935376405716,0.05118494853377342,0.05594603717327118,0.05483459308743477,0.03863024711608887,0.6549951434135437,0.05075449123978615,79.20353698730469,0.051337290555238724,196.7324676513672,0.05608169734477997,376043.9375,0.055008482187986374,205.51039123535156,0.038788486272096634,2629.77392578125,0.4580540657043457,0.05794702097773552,5985.0,0.0,3075.0,0.0,0.9164349654453843,0.04666685,0.046470344,0.05113796,0.050341442,0.045617506,0.6762008,0.04666783,17131.46,0.046470296,63.631298,0.051140077,32992.797,0.05034222,51955.406,0.04562469,119.17722,0.5368962,0.13382283,37200.0,6.0,26109.0,15.0,1e-04
DAL,0,2022-06-12 13:32:18.740382,1.255361878142065,0.10119210183620453,0.09516116231679916,0.11920773237943649,0.10969046503305435,0.13888178765773773,0.693719208240509,0.1060742735862732,98.45643615722656,0.09930605441331863,213937.28125,0.12532681226730347,466.371826171875,0.11488008499145508,176.70376586914062,0.1225837990641594,192.67721557617188,0.5617489218711853,0.3520408272743225,3187.0,14.0,2661.0,18.0,0.9153063634697585,0.044159032,0.04602381,0.04673954,0.047713224,0.043344457,0.6876638,0.04407748,34605.523,0.04594258,127460.64,0.046650097,259413.9,0.04763128,184961.3,0.043280035,196.9017,0.51134515,0.11504748,22686.0,42.0,18329.0,13.0,1e-04
DD,0,2022-06-12 13:33:24.224002,1.2115217020969518,0.09570930898189545,0.0944160595536232,0.10020994395017624,0.09928689152002335,0.1351335495710373,0.6872367858886719,0.09545812755823135,108.38348388671875,0.09412381798028946,25011.912109375,0.10004902631044388,123.96891784667969,0.09911096096038818,38789.75390625,0.13539911806583405,178.38467407226562,0.4556424617767334,0.21357615292072296,5137.0,40.0,3832.0,51.0,0.9117719343294751,0.044360492,0.044381738,0.047271848,0.047984604,0.04037691,0.6873612,0.044364545,21325.047,0.044386227,14293.575,0.047276117,4840.484,0.04798946,42992.45,0.040381517,498.44144,0.531649,0.249171,34527.0,144.0,28536.0,123.0,1e-04
DIS,0,2022-06-12 13:34:29.727504,0.9513607925137147,0.05598636716604233,0.05788077786564827,0.055545367300510406,0.057804714888334274,0.04638640210032463,0.6753302812576294,0.05628179758787155,72.43173217773438,0.05819369852542877,60.590030670166016,0.055833280086517334,72.80895233154297,0.05811662971973419,80.00762176513672,0.04661611467599869,229.52577209472656,0.4491668939590454,0.0678807944059372,5544.0,21.0,3477.0,18.0,0.9283680473103562,0.039813414,0.03893495,0.043292448,0.041977223,0.08114472,0.68330187,0.03980196,48093.777,0.038924467,139399.89,0.043278925,90188.555,0.04196547,166239.81,0.081104234,205.46454,0.5141284,0.20630033,35907.0,179.0,27093.0,151.0,1e-04
EBAY,0,2022-06-12 13:35:35.067403,0.871726716591033,0.038944728672504425,0.04173601046204567,0.038965314626693726,0.040261536836624146,0.023971686139702797,0.6869638562202454,0.039109744131565094,24662.8203125,0.04193072393536568,40208.18359375,0.03911912441253662,31461.953125,0.04043755307793617,101.67689514160156,0.02408759295940399,143.28048706054688,0.5310046076774597,0.3129138946533203,4869.0,156.0,3879.0,156.0,0.9105890280598433,0.043831002,0.045361478,0.045774184,0.047339547,0.03777276,0.69048387,0.043836135,156419.2,0.0453664,64475.67,0.045779705,54950.88,0.047344383,4417.336,0.037780475,168.23447,0.51260406,0.19137849,33116.0,955.0,28358.0,901.0,1e-04
FB,0,2022-06-12 13:36:01.985675,0.845726051005015,0.0610625259578228,0.05522153526544571,0.06696285307407379,0.06107843667268753,0.05747518315911293,0.5438202619552612,0.06195298582315445,72.87676239013672,0.0558178536593914,62.97177505493164,0.06809673458337784,53.395896911621094,0.06191539764404297,63.74170684814453,0.05883396416902542,85.31169128417969,0.4299395978450775,0.1807228922843933,3165.0,0.0,570.0,0.0,0.858383781349604,0.04113587,0.041184723,0.042862583,0.04281472,0.030346354,0.6597357,0.04119108,118805.8,0.04128375,91.45927,0.04284571,36504.9,0.042865146,10168.363,0.03052219,244.44873,0.48903173,0.25691244,16909.0,18.0,9072.0,41.0,1e-04
GE,0,2022-06-12 13:37:07.159547,0.9042357897126911,0.03949844837188721,0.0401509553194046,0.039905231446027756,0.0416095145046711,0.04233504459261894,0.6998671293258667,0.03968299925327301,317389.0,0.04034605249762535,595176.5625,0.04008062928915024,34440.44140625,0.041811853647232056,102509.296875,0.042563121765851974,189.9649658203125,0.49564021825790405,0.03145695477724075,2970.0,1071.0,4290.0,729.0,0.9106734395874219,0.03928109,0.039610323,0.043064296,0.042721096,0.051582184,0.6944285,0.039279222,57169.04,0.039608553,23239.91,0.04306257,42262.902,0.042719137,95651.11,0.05157661,184.13394,0.53442,0.20819516,23234.0,10327.0,21496.0,8273.0,1e-04
GPRO,0,2022-06-12 13:37:27.709684,1.0777451178384205,0.0673835501074791,0.07612892985343933,0.06534760445356369,0.07433485239744186,0.05432436987757683,0.7407429218292236,0.06737695634365082,26.25114631652832,0.0761718675494194,25.204627990722656,0.06531476974487305,29.157163619995117,0.0743156224489212,27.553508758544922,0.05470624938607216,428.5533752441406,0.6635057926177979,0.34391534328460693,244.0,595.0,20.0,1976.0,0.8612190872137516,0.033448394,0.036137063,0.033154,0.0352044,0.034669787,0.68739605,0.03356045,161419.36,0.036267,104741.17,0.033259444,378839.97,0.035324004,78306.875,0.035123583,283.15085,0.56996477,0.08856927,5306.0,5769.0,4469.0,4271.0,1e-04
HD,0,2022-06-12 13:38:33.136466,0.8699544431357984,0.037497326731681824,0.03750253841280937,0.03886521980166435,0.03984713926911354,0.031774137169122696,0.6835127472877502,0.037574104964733124,61.70126724243164,0.03758736327290535,131.27630615234375,0.03893144428730011,110.01043701171875,0.03993108868598938,66.03475952148438,0.03177705407142639,127.9146957397461,0.46758532524108887,0.2947019934654236,5149.0,31.0,3824.0,56.0,0.8990356395279611,0.0411409,0.04093863,0.044674728,0.043949198,0.04125288,0.68705314,0.041144904,19110.404,0.04094278,28137.352,0.04467989,15062.228,0.043953355,8685.665,0.041261178,381.87766,0.51530623,0.35788727,30884.0,3869.0,23716.0,4861.0,1e-04
