Saved Metrics:
Look Back = 120
Prediction Length = 15
MeanSquaredError = 'mse'
MeanAbsolutePercentageError = 'mape'
AUC = 'auc'
TruePositives = 'TP'
TrueNegatives = 'TN'
FalsePositives = 'FP'
FalseNegatives = 'FN'
CategoricalAccuracy = 'catAcc'
-------------------------------------


,,,training performance
ticker,itteration,run time,val_loss,val_out_open_loss,val_out_high_loss,val_out_low_loss,val_out_close_loss,val_out_vol_loss,val_out_cat_loss,val_out_open_mse,val_out_open_mape,val_out_high_mse,val_out_high_mape,val_out_low_mse,val_out_low_mape,val_out_close_mse,val_out_close_mape,val_out_vol_mse,val_out_vol_mape,val_out_cat_auc,val_out_cat_catAcc,val_out_cat_TP,val_out_cat_TN,val_out_cat_FP,val_out_cat_FN,loss,out_open_loss,out_high_loss,out_low_loss,out_close_loss,out_vol_loss,out_cat_loss,out_open_mse,out_open_mape,out_high_mse,out_high_mape,out_low_mse,out_low_mape,out_close_mse,out_close_mape,out_vol_mse,out_vol_mape,out_cat_auc,out_cat_catAcc,out_cat_TP,out_cat_TN,out_cat_FP,out_cat_FN,learning_rate
ORCL,0,2022-06-12 13:48:16.531031,0.9376342734753691,0.05707383155822754,0.056489598006010056,0.0604608952999115,0.059961576014757156,0.02632737159729004,0.677142322063446,0.05715886875987053,43695.65625,0.0565807968378067,121.73712921142578,0.06054563820362091,100.03595733642578,0.060051754117012024,152.32138061523438,0.0260742399841547,270.8686218261719,0.48768773674964905,0.4486754834651947,5645.0,157.0,2894.0,364.0,0.8749512901581729,0.038571976,0.03905943,0.040700734,0.041328773,0.03031976,0.6849675,0.038571935,43140.418,0.039060183,70004.41,0.04069853,163929.89,0.041328646,73535.47,0.030323088,184.94107,0.56595534,0.3398863,31856.0,3201.0,25889.0,2384.0,1e-04
PEP,0,2022-06-12 13:49:21.816811,0.8373672445088822,0.038813602179288864,0.03789246082305908,0.0429106242954731,0.04261419549584389,0.046421125531196594,0.6275611519813538,0.038973819464445114,12792.447265625,0.03806087374687195,52.69782257080078,0.043086014688014984,81.33757019042969,0.042806945741176605,55.05354309082031,0.04666478931903839,144.80319213867188,0.5897096991539001,0.3344370722770691,6413.0,38.0,2548.0,61.0,0.8880174693932527,0.04053914,0.040316172,0.045682248,0.044118226,0.041906003,0.6754477,0.040546514,77394.39,0.040322743,3356.4312,0.04569218,142.79575,0.04412647,140694.36,0.041908428,146.87038,0.5485794,0.33349124,36661.0,389.0,25936.0,344.0,1e-04
PFE,0,2022-06-12 13:50:27.406330,0.8450931290917049,0.03468194976449013,0.0368281751871109,0.03682681918144226,0.03782700374722481,0.03743716701865196,0.6606299877166748,0.034787196666002274,44.238319396972656,0.036944687366485596,24.06718635559082,0.03694313019514084,66.19959259033203,0.03795366734266281,33.20320510864258,0.03754081577062607,119.82118225097656,0.5234313011169434,0.3857615888118744,5967.0,3.0,3000.0,90.0,0.8874989501224881,0.034714244,0.034935284,0.038690247,0.03792385,0.053626124,0.6875908,0.034719728,247250.12,0.034940735,65172.79,0.03869692,24919.773,0.037929934,38443.64,0.053627465,146.34729,0.53389853,0.28919944,33512.0,1099.0,27767.0,952.0,1e-04
PM,0,2022-06-12 13:51:07.115915,0.9961209693461738,0.06440512090921402,0.05919395014643669,0.07481618970632553,0.06773976236581802,0.04496188461780548,0.6880804896354675,0.06696236878633499,91.64763641357422,0.06127600744366646,84.63392639160156,0.07787735760211945,119.30299377441406,0.07034515589475632,86.72672271728516,0.04436415061354637,187.86572265625,0.34367936849594116,0.14441417157649994,3421.0,24.0,1961.0,99.0,0.9078071369663961,0.04760356,0.046035353,0.05326409,0.051998757,0.03910654,0.6684873,0.04761265,23685.809,0.04605203,20189.707,0.05328635,102.2538,0.0520255,45492.473,0.039388392,112.362785,0.5491209,0.35190958,22687.0,471.0,14979.0,353.0,1e-04
PYPL,0,2022-06-12 13:51:24.169046,0.5888266737730998,0.023001689463853836,0.02281547337770462,0.023005405440926552,0.024019382894039154,0.02439151518046856,0.4710223078727722,0.022928450256586075,12.214463233947754,0.022725654765963554,11.577713012695312,0.022953538224101067,12.980735778808594,0.02394905500113964,12.513134002685547,0.02445264160633087,193.12228393554688,0.5088143944740295,0.23899370431900024,2055.0,0.0,330.0,0.0,0.8152079278557929,0.042148102,0.04131572,0.044638995,0.04460636,0.031052154,0.61083394,0.042248458,42325.35,0.041419487,198461.7,0.044749513,62.50818,0.044716567,42.852066,0.031187018,187.88956,0.5100569,0.42934293,11832.0,3.0,4825.0,5.0,1e-04
QCOM,0,2022-06-12 13:52:29.399441,1.089519872965402,0.08023087680339813,0.08948290348052979,0.08029483258724213,0.08737532049417496,0.050638455897569656,0.6994255185127258,0.08062755316495895,10765.236328125,0.08996264636516571,13455.169921875,0.08068444579839706,111.50870513916016,0.08782301843166351,219.34768676757812,0.050874099135398865,259.4081726074219,0.4233724772930145,0.22350993752479553,4595.0,245.0,3880.0,340.0,0.8808901697827718,0.038096577,0.038895026,0.040458586,0.04143398,0.0381686,0.6838404,0.03809586,6177.851,0.038894475,12909.442,0.040457323,12179.34,0.04143301,256303.47,0.038168192,149.4851,0.548305,0.23987687,34594.0,1374.0,26448.0,929.0,1e-04
QQQ,0,2022-06-12 13:53:34.786764,0.7733132452364789,0.027186380699276924,0.02437502332031727,0.0315764881670475,0.029311295598745346,0.060897670686244965,0.5990815758705139,0.027278855443000793,34.165828704833984,0.024458911269903183,35.56608200073242,0.031685229390859604,58.66398620605469,0.029422147199511528,42.09083557128906,0.06094226613640785,196.9073944091797,0.5063688158988953,0.5529801249504089,6936.0,30.0,1995.0,99.0,0.8600948012301404,0.035482608,0.033363152,0.04034748,0.038412545,0.046363007,0.6661135,0.035486188,24642.797,0.033366308,65473.12,0.040351868,73354.92,0.038416374,50247.168,0.046366263,150.2547,0.555356,0.33175468,37737.0,763.0,24392.0,453.0,1e-04
SBUX,0,2022-06-12 13:54:40.274433,0.856248517699589,0.04293467476963997,0.04420235753059387,0.046585436910390854,0.04712596535682678,0.02358809858560562,0.6501681804656982,0.043037086725234985,66571.328125,0.044313326478004456,50.392738342285156,0.046690963208675385,21639.45703125,0.047249335795640945,122.42790222167969,0.02369237132370472,163.99623107910156,0.47721099853515625,0.38907283544540405,6037.0,94.0,2693.0,236.0,0.8426568289658991,0.03219206,0.032877993,0.03391185,0.03466665,0.03487491,0.67413205,0.032191217,89583.59,0.03287645,18462.062,0.033911318,79435.69,0.034665357,6809.869,0.034875304,423.47244,0.57794297,0.36680084,35284.0,1484.0,25364.0,1213.0,1e-04
SLB,0,2022-06-12 13:55:46.077641,0.9476840784218138,0.05043471232056618,0.05491773039102554,0.051314447075128555,0.05641927197575569,0.0390390120446682,0.6944745182991028,0.050610922276973724,303553.125,0.055127423256635666,43554.23828125,0.05149197578430176,20641.623046875,0.05662964656949043,24171.07421875,0.039199844002723694,132.9411163330078,0.5316508412361145,0.1357615888118744,3542.0,973.0,3938.0,607.0,0.9004004983689698,0.03912996,0.04022181,0.041794524,0.042961046,0.047468364,0.6888184,0.039130777,45455.992,0.04022247,119.57936,0.04179578,8073.902,0.042962104,9889.6875,0.04746714,144.89005,0.52541864,0.28865737,31539.0,2895.0,26310.0,2601.0,1e-04
T,0,2022-06-12 13:56:51.264540,0.920692475426276,0.044827334582805634,0.044436339288949966,0.04900910705327988,0.04920415207743645,0.043541256338357925,0.6882337927818298,0.04492776095867157,58543.40234375,0.044551651924848557,137.23318481445312,0.049118634313344955,149.83270263671875,0.04933140426874161,131.11703491210938,0.043764322996139526,135.54156494140625,0.46884453296661377,0.2682119309902191,4808.0,193.0,3752.0,307.0,0.8854839786544897,0.03811046,0.0400072,0.04008834,0.04084527,0.041634064,0.684797,0.038111407,9421.184,0.040008847,104.159775,0.04008913,13493.738,0.040846646,65154.805,0.041632496,121.73714,0.52261657,0.2971821,33508.0,2054.0,25912.0,1871.0,1e-04
TNA,0,2022-06-12 13:57:29.285298,1.2011746860098564,0.08214971423149109,0.08221942186355591,0.08874455094337463,0.08672995865345001,0.211472749710083,0.6450334191322327,0.0830436497926712,99.76864624023438,0.08311666548252106,83.00128173828125,0.0897097960114479,160.21987915039062,0.08768057078123093,214.88499450683594,0.21278227865695953,310.2304382324219,0.558072030544281,0.4195402264595032,3445.0,87.0,1657.0,31.0,0.9213510095337291,0.046399467,0.045154873,0.050480288,0.049957678,0.05355813,0.6758242,0.046391338,4495.0225,0.045147363,53002.168,0.050470054,173.77469,0.04994752,4366.915,0.053559456,201.20558,0.5315268,0.4218107,21037.0,409.0,14591.0,413.0,1e-04
TWLO,0,2022-06-12 13:57:43.547651,0.7791133527468918,0.0387243777513504,0.040264274924993515,0.041845276951789856,0.042506031692028046,0.006863250397145748,0.707506537437439,0.03140980377793312,17.542909622192383,0.03220677003264427,17.008525848388672,0.032303545624017715,19.03662872314453,0.033112119883298874,18.24817657470703,0.006757250986993313,221.0834197998047,0.4557698965072632,0.6090225577354431,1320.0,0.0,675.0,0.0,0.9346528608134704,0.060217164,0.06379352,0.06153165,0.06459734,0.03494915,0.6496517,0.06021222,24471.22,0.06378334,161.01639,0.061529603,59690.21,0.06459203,13504.53,0.034945637,372.22327,0.5468884,0.40820736,8981.0,84.0,4762.0,63.0,1e-04
TWTR,0,2022-06-12 13:58:05.970339,0.8553316912789276,0.039733100682497025,0.03806362301111221,0.044175513088703156,0.042606137692928314,0.022060750052332878,0.6594845652580261,0.0416950099170208,62.63368606567383,0.03982266038656235,59.177921295166016,0.04628807678818703,42.74769592285156,0.04457983747124672,54.149627685546875,0.023017767816781998,857.0404052734375,0.38642093539237976,0.260869562625885,2214.0,28.0,692.0,171.0,0.9101523193910739,0.044118248,0.04816098,0.04337425,0.046980076,0.027674912,0.70073867,0.044014182,12740.454,0.04807492,34138.07,0.04317215,102358.09,0.04679205,16836.363,0.027636057,324.85736,0.5252596,0.24204703,10684.0,458.0,10252.0,296.0,1e-04
TXN,0,2022-06-12 13:59:11.251882,0.8563189163113272,0.035404253751039505,0.035251691937446594,0.037396226078271866,0.03845681622624397,0.045455969870090485,0.6630425453186035,0.0355595201253891,46.744659423828125,0.0354212261736393,61.31769943237305,0.037566039711236954,38.248600006103516,0.03863752633333206,33.928955078125,0.04557748883962631,350.8317565917969,0.5386031270027161,0.5231788158416748,5663.0,146.0,3104.0,147.0,0.8690812566990032,0.035540283,0.035935022,0.037790656,0.03834682,0.034875713,0.68659335,0.03554192,80572.25,0.035936713,89620.586,0.037792012,17587.285,0.038348306,8521.016,0.034876674,169.134,0.5403717,0.309022,32391.0,2284.0,26856.0,1814.0,1e-04
TZA,0,2022-06-12 13:59:48.882054,1.3628862972917228,0.1508493274450302,0.2131854146718979,0.11175170540809631,0.15550170838832855,0.11004743725061417,0.6163869500160217,0.15251615643501282,19683.5,0.2155468761920929,367123.65625,0.11298952251672745,8987.4267578125,0.15722952783107758,297.48809814453125,0.1068461611866951,290.84619140625,0.6149578094482422,0.1350574642419815,46.0,3679.0,23.0,1472.0,0.8730159710954737,0.03349519,0.04192241,0.028393373,0.0362161,0.056303997,0.6766703,0.03348532,77096.71,0.041913252,172185.42,0.02838388,45957.6,0.036206003,81168.17,0.056318495,191.49345,0.5133832,0.072839506,3378.0,17687.0,5593.0,9792.0,1e-04
USB,0,2022-06-12 14:00:54.247806,0.9268763692963202,0.049244482070207596,0.0479331836104393,0.054282113909721375,0.053526394069194794,0.03522656857967377,0.6849773526191711,0.04946111515164375,75.43282318115234,0.048146650195121765,126.68779754638672,0.05451557785272598,194.7405242919922,0.053769491612911224,238.59214782714844,0.03522108867764473,134.98300170898438,0.4336356818675995,0.3576158881187439,5145.0,67.0,3638.0,210.0,0.8870604638942688,0.03687179,0.036239218,0.040426143,0.040187083,0.0460634,0.68726563,0.036872204,6024.327,0.036239915,67311.805,0.040426783,10263.149,0.040187985,13449.088,0.046065822,253.59514,0.50918955,0.41700214,29770.0,5580.0,20875.0,7120.0,1e-04
V,0,2022-06-12 14:01:33.801293,0.8027291608116607,0.05395364388823509,0.045896802097558975,0.06089819595217705,0.05428124591708183,0.053224027156829834,0.5209072232246399,0.05589734762907028,64.91951751708984,0.0474170558154583,96.25374603271484,0.06322294473648071,124.42623138427734,0.05625515431165695,60.00790786743164,0.05492400750517845,165.75930786132812,0.6215778589248657,0.47411444783210754,4388.0,7.0,1106.0,4.0,0.8197756274401793,0.034580953,0.034747504,0.036985893,0.037331253,0.046360906,0.6277541,0.034751613,86.12553,0.034905404,46.77917,0.037192374,51.073086,0.037523746,38.5744,0.046758972,202.02875,0.5494751,0.46978557,25938.0,63.0,12354.0,120.0,1e-04
VER,0,2022-06-12 14:01:50.900916,0.8738800490958781,0.04656185954809189,0.045995812863111496,0.05072280019521713,0.0460086353123188,0.03673145920038223,0.6475554704666138,0.04693252965807915,21.533321380615234,0.04636288061738014,19.874164581298828,0.051138799637556076,24.77060890197754,0.046354226768016815,21.424291610717773,0.036039359867572784,1743.281982421875,0.3398388624191284,0.19620253145694733,1636.0,0.0,729.0,5.0,1.0612291503643645,0.07802041,0.07438969,0.09394239,0.08675137,0.06025627,0.66350925,0.078683086,112951.83,0.07500657,104877.91,0.094825014,315484.4,0.087517105,30853.268,0.060555078,147.93579,0.49755615,0.3106884,10362.0,85.0,6053.0,60.0,1e-04
VOD,0,2022-06-12 14:02:56.160940,0.9598408597984062,0.0511048324406147,0.0536920540034771,0.05168309062719345,0.05328715965151787,0.04426050931215286,0.7045522928237915,0.05138514190912247,201736.984375,0.05400010198354721,70953.9296875,0.05195832997560501,14387.21875,0.05358953773975372,58860.6875,0.044456928968429565,353.9258728027344,0.5716432929039001,0.23509933054447174,3619.0,481.0,4657.0,303.0,0.8876725796159342,0.03907171,0.039772876,0.040351115,0.040631413,0.044751517,0.68308735,0.03907299,35692.01,0.039773658,7207.6597,0.040352225,22618.28,0.0406321,29888.02,0.044750936,212.62376,0.5527488,0.34075302,33751.0,1855.0,26360.0,1379.0,1e-04
VZ,0,2022-06-12 14:04:01.758152,0.8953550576374231,0.04020716995000839,0.042926400899887085,0.041203051805496216,0.04317033663392067,0.03172862157225609,0.695591390132904,0.040336284786462784,22495.974609375,0.04309018701314926,2266.77099609375,0.041327737271785736,63.96660232543945,0.04332193732261658,54.293785095214844,0.031848832964897156,125.56354522705078,0.48461011052131653,0.21192052960395813,3425.0,1236.0,2711.0,1688.0,0.9346419660762224,0.03551412,0.035877828,0.038964257,0.038165476,0.09638191,0.6897184,0.035515666,37216.64,0.03587922,85059.805,0.03896652,67584.98,0.03816717,7214.774,0.09639443,309.50873,0.54122806,0.2995501,27754.0,5880.0,24826.0,4885.0,1e-04
WBA,0,2022-06-12 14:05:07.472313,0.9245823673065136,0.042952973395586014,0.044043801724910736,0.04718194156885147,0.047954969108104706,0.05441657453775406,0.6863918304443359,0.04320835694670677,31019.138671875,0.04431067407131195,43016.75390625,0.047463737428188324,248.78292846679688,0.04824542999267578,334.95501708984375,0.05473102256655693,151.13839721679688,0.545093834400177,0.26986753940582275,4737.0,267.0,3863.0,193.0,0.9211860465941315,0.041952074,0.04257522,0.044789232,0.045451403,0.06468179,0.6817029,0.041957613,24637.516,0.04258086,10386.467,0.0447954,76267.64,0.045457378,6622.03,0.06469072,279.71255,0.52725804,0.34643617,34308.0,1974.0,25121.0,1942.0,1e-04
WFC,0,2022-06-12 14:06:12.736534,0.8967147658992287,0.04023100063204765,0.041174858808517456,0.04135085269808769,0.04294712841510773,0.044256098568439484,0.6850840449333191,0.04042569547891617,115.28087615966797,0.04137834161520004,37795.79296875,0.041551437228918076,203.4226837158203,0.043156955391168594,103.72705078125,0.04444943368434906,133.69393920898438,0.5807369947433472,0.37251654267311096,4777.0,128.0,4087.0,68.0,0.8644556322567502,0.036512136,0.036532104,0.038630374,0.038960457,0.03962034,0.67418003,0.03651636,108466.82,0.03653584,52074.594,0.03863517,86442.48,0.038964648,14172.834,0.03962192,174.87901,0.5294301,0.37082642,37160.0,425.0,25405.0,355.0,1e-04
WMT,0,2022-06-12 14:07:18.446375,0.8859670379303939,0.03847590461373329,0.04044971615076065,0.03914821520447731,0.040733981877565384,0.03613104298710823,0.6912484169006348,0.03841293230652809,36.29850387573242,0.040412623435258865,193.65699768066406,0.03905482217669487,38.117088317871094,0.040663816034793854,36.98429870605469,0.036207929253578186,369.25299072265625,0.5282217860221863,0.49668875336647034,2459.0,1958.0,1362.0,3281.0,0.8947277376218737,0.0393437,0.039925165,0.042046465,0.04290236,0.04135447,0.68916166,0.039343283,17563.027,0.0399244,35171.254,0.04204651,2378.5872,0.042901665,42419.805,0.041350536,156.25122,0.54546154,0.2806062,27914.0,6282.0,23830.0,5319.0,1e-04
WPM,0,2022-06-12 14:07:34.194277,0.8654734598447199,0.022406304255127907,0.02572014555335045,0.020656120032072067,0.024774733930826187,0.045391298830509186,0.7427787184715271,0.02220558375120163,118954.0703125,0.025574343279004097,72.68455505371094,0.020521752536296844,263.15789794921875,0.024625573307275772,75.71455383300781,0.04090951755642891,339.03839111328125,0.437469482421875,0.30821916460990906,978.0,0.0,1209.0,3.0,0.8986500221140244,0.04464129,0.043086633,0.046073217,0.045843437,0.042441655,0.6769513,0.044600416,9389.1,0.04302752,10841.395,0.046037007,97.629425,0.04579246,73.7207,0.04222111,233.38742,0.5193788,0.46372548,8272.0,687.0,5244.0,1097.0,1e-04
WU,0,2022-06-12 14:08:18.548810,0.874313845353968,0.04186305031180382,0.03891344368457794,0.04480521008372307,0.04385356605052948,0.035287197679281235,0.6809183359146118,0.039153050631284714,117.93384552001953,0.03690039739012718,225.18276977539062,0.04167107120156288,83.59062194824219,0.0412757433950901,24085.869140625,0.035446345806121826,109.66162109375,0.48372116684913635,0.4117647111415863,3591.0,89.0,2389.0,51.0,0.9300407152035559,0.04407002,0.043987516,0.04779003,0.047249306,0.06602473,0.6807964,0.044056922,122567.336,0.0439412,38970.33,0.047812738,82869.43,0.04722375,231089.38,0.06646842,208.38023,0.55041814,0.38892782,23721.0,788.0,17854.0,447.0,1e-04
XOM,0,2022-06-12 14:09:24.020417,0.9043581880481038,0.047400519251823425,0.04631856083869934,0.05276118963956833,0.051827311515808105,0.033819109201431274,0.6716851592063904,0.047641411423683167,25291.166015625,0.04655056074261665,66.29388427734375,0.05302776023745537,64650.05859375,0.05209697410464287,143.5828094482422,0.033897966146469116,183.18438720703125,0.5244362354278564,0.3675496578216553,5367.0,100.0,3536.0,57.0,0.8678004468698342,0.0368802,0.036453687,0.040846348,0.040388532,0.043422785,0.6698015,0.036881763,63.206562,0.03645548,114.4104,0.04084815,69.04846,0.04039047,84.94621,0.043420315,184.91711,0.54827183,0.36940563,37596.0,377.0,25087.0,285.0,1e-04
ZNGA,0,2022-06-12 14:09:52.151900,0.9360034062312199,0.05121145769953728,0.05310394614934921,0.05147577077150345,0.05432293936610222,0.035538449883461,0.6622440218925476,0.056201789528131485,25.633241653442383,0.05816439166665077,21.58620834350586,0.056275445967912674,48.64902877807617,0.05953514575958252,26.82697105407715,0.037578750401735306,221.47715759277344,0.5767130255699158,0.48846152424812317,2333.0,6.0,1488.0,73.0,0.8814462739032703,0.03791384,0.04108807,0.0378829,0.040720284,0.038995117,0.6847366,0.03793686,362702.88,0.041109834,601533.7,0.0379069,953473.6,0.04074462,446706.8,0.03900916,226.21986,0.55952466,0.28736264,14709.0,403.0,11879.0,309.0,1e-04
