Saved Metrics:
MeanSquaredError = 'mse'
MeanAbsolutePercentageError = 'mape'
AUC = 'auc'
TruePositives = 'TP'
TrueNegatives = 'TN'
FalsePositives = 'FP'
FalseNegatives = 'FN'
CategoricalAccuracy = 'catAcc'
-------------------------------------


ticker,itteration,elapsed time,training performance
,,,val_loss,val_out_reg_loss,val_out_cat_loss,val_out_reg_mse,val_out_reg_mape,val_out_cat_auc,val_out_cat_catAcc,val_out_cat_TP,val_out_cat_TN,val_out_cat_FP,val_out_cat_FN,loss,out_reg_loss,out_cat_loss,out_reg_mse,out_reg_mape,out_cat_auc,out_cat_catAcc,out_cat_TP,out_cat_TN,out_cat_FP,out_cat_FN,
ABBV,0,0:00:04.904998,3.4101966866015037,0.07816750556230545,0.6585996150970459,0.06826001405715942,44.87247848510742,0.6175637245178223,0.6175637245178223,218.0,218.0,135.0,135.0,3.4469133609571383,0.037493855,0.6792969,0.03800666,61.655067,0.58102304,0.58623135,826.0,826.0,583.0,583.0,
ABT,0,0:00:19.339999,3.4569472731040616,0.13668406009674072,0.6658644080162048,0.1350330412387848,72.70677947998047,0.6206896305084229,0.6206896305084229,630.0,630.0,385.0,385.0,3.4363139752949303,0.0068812557,0.6858744,0.006881954,97.476814,0.5665424,0.5683666,2307.0,2307.0,1752.0,1752.0,
ALL,0,0:00:34.072000,3.4781090898466815,0.1656675934791565,0.662924587726593,0.1652451604604721,65.08902740478516,0.6768472790718079,0.6768472790718079,687.0,687.0,328.0,328.0,3.4332225259873455,0.009378948,0.6847556,0.009376449,75.1129,0.5741722,0.5723084,2323.0,2323.0,1736.0,1736.0,
AMZN,0,0:00:48.355006,3.437200506567368,0.14010635018348694,0.659311056137085,0.13733811676502228,87.63603973388672,0.6729063987731934,0.6729063987731934,683.0,683.0,332.0,332.0,3.441502681651354,0.0029673267,0.6877256,0.0029688228,591.99243,0.55914015,0.5624538,2283.0,2283.0,1776.0,1776.0,
BA,0,0:01:02.910999,3.5856248094530527,0.27833452820777893,0.6612368822097778,0.27997347712516785,77.18717193603516,0.6551724076271057,0.6551724076271057,665.0,665.0,350.0,350.0,3.3991874073725903,0.0056332774,0.6787098,0.0056312,198.11546,0.5946654,0.59398866,2411.0,2411.0,1648.0,1648.0,
BABA,0,0:01:06.952998,3.015977352185357,0.07233825325965881,0.5793407559394836,0.06560885906219482,46.06624221801758,0.7518796920776367,0.7518796920776367,200.0,200.0,66.0,66.0,3.3505395301302574,0.036565736,0.6658768,0.03663278,406.96228,0.61415285,0.63251877,673.0,673.0,391.0,391.0,
BAC,0,0:01:20.786508,3.4465133326394217,0.043023720383644104,0.6808326840400696,0.0431378111243248,33.09183120727539,0.6068965196609497,0.6068965792655945,616.0,616.0,399.0,399.0,3.5276274673455337,0.052025486,0.6951036,0.052016612,78.70707,0.5159067,0.5173688,2100.0,2100.0,1959.0,1959.0,
BMY,0,0:01:35.820509,3.5781985381553914,0.16464471817016602,0.6833014488220215,0.16410434246063232,55.52902603149414,0.5763546824455261,0.5763546824455261,585.0,585.0,430.0,430.0,3.4916542539105504,0.05036572,0.68826437,0.050371163,157.02954,0.557242,0.56343925,2287.0,2287.0,1772.0,1772.0,
BP,0,0:01:50.239508,3.5595018903610156,0.08799556642770767,0.6941499710083008,0.0886903777718544,39.45344924926758,0.4522167444229126,0.4522167444229126,459.0,459.0,556.0,556.0,3.5163277154134454,0.038187213,0.69563323,0.03818306,78.47514,0.5139081,0.5045578,2048.0,2048.0,2011.0,2011.0,
BX,0,0:01:59.651805,3.3499922620135516,0.05518312379717827,0.6598483324050903,0.05416743829846382,66.65518188476562,0.660855770111084,0.660855770111084,417.0,417.0,214.0,214.0,3.4771770064527443,0.012977415,0.69286567,0.012994043,200.39563,0.52704954,0.5188268,1309.0,1309.0,1214.0,1214.0,
CSCO,0,0:02:14.290806,3.7078518092338673,0.16549675166606903,0.7087122797966003,0.16478973627090454,62.15700149536133,0.29064038395881653,0.29064038395881653,295.0,295.0,720.0,720.0,3.4901516349423134,0.016193068,0.6947955,0.016198823,55.290756,0.5215086,0.51268786,2081.0,2081.0,1978.0,1978.0,
CVX,0,0:02:28.568806,3.6350225093916717,0.30311092734336853,0.6665878891944885,0.3040617108345032,64.3248519897461,0.626600980758667,0.626600980758667,636.0,636.0,379.0,379.0,3.4660437809595717,0.059526764,0.68139964,0.05953725,314.40912,0.5816057,0.58093125,2358.0,2358.0,1701.0,1701.0,
DAL,0,0:02:37.989806,3.716349188436909,0.2757442593574524,0.6879938840866089,0.27651670575141907,60.58037185668945,0.5517241358757019,0.5517241358757019,352.0,352.0,286.0,286.0,3.5216147650087266,0.06782402,0.69087774,0.067893416,197.2378,0.5409977,0.5448844,1390.0,1390.0,1161.0,1161.0,
DD,0,0:02:52.523806,3.5532024848637325,0.12200896441936493,0.6853674054145813,0.12282568961381912,63.81820297241211,0.5596058964729309,0.5596058964729309,568.0,568.0,447.0,447.0,3.4875681175918936,0.031565174,0.6911853,0.031557363,123.21593,0.540306,0.5304262,2153.0,2153.0,1906.0,1906.0,
DIS,0,0:03:06.785854,3.6419483772052335,0.16219791769981384,0.6959581971168518,0.16200537979602814,75.19536590576172,0.4256157875061035,0.42561575770378113,432.0,432.0,583.0,583.0,3.4542735935755333,0.019494418,0.68697524,0.019482473,187.94225,0.56725997,0.5676275,2304.0,2304.0,1755.0,1755.0,
EBAY,0,0:03:20.734856,3.5143969850587142,0.07936105132102966,0.686765193939209,0.07807382196187973,62.492977142333984,0.5615763664245605,0.5615763664245605,570.0,570.0,445.0,445.0,3.4719108889096475,0.0073849927,0.69291615,0.0073864805,118.575195,0.5255897,0.5242671,2128.0,2128.0,1931.0,1931.0,
FB,0,0:03:26.456148,3.052662988503774,0.05219673737883568,0.6000931859016418,0.05219673737883568,45.4941520690918,0.71875,0.71875,276.0,276.0,108.0,108.0,3.260227035714067,0.02032732,0.64801866,0.020333868,148.7237,0.64572704,0.6614481,1014.0,1014.0,519.0,519.0,
GE,0,0:03:41.127148,3.524042608232921,0.07718684524297714,0.6895239949226379,0.07655033469200134,116.33382415771484,0.5832512378692627,0.5832512378692627,592.0,592.0,423.0,423.0,3.516516997797144,0.035509493,0.6962005,0.035507966,44.136845,0.51532495,0.5166297,2097.0,2097.0,1962.0,1962.0,
GPRO,0,0:03:45.277148,3.488918191237415,0.018275026232004166,0.6938683986663818,0.018319930881261826,4702.06884765625,0.4460431933403015,0.4460431635379791,124.0,124.0,154.0,154.0,3.528267613195493,0.04919607,0.69570374,0.04944214,201.0002,0.49152046,0.5049505,561.0,561.0,550.0,550.0,
HD,0,0:04:00.107150,3.5726280076163155,0.16524632275104523,0.68156498670578,0.1634441465139389,81.00340270996094,0.5793103575706482,0.5793103575706482,588.0,588.0,427.0,427.0,3.4435069558067726,0.006619771,0.6873639,0.006619951,160.80582,0.55855143,0.56442475,2291.0,2291.0,1768.0,1768.0,
INTC,0,0:04:14.419148,3.633632852761029,0.19643403589725494,0.6879673600196838,0.19413229823112488,68.14603424072266,0.6561576128005981,0.6561576128005981,666.0,666.0,349.0,349.0,3.4860145618070315,0.01096829,0.69500804,0.010971225,99.29205,0.4975203,0.50036955,2031.0,2031.0,2028.0,2028.0,
JD,0,0:04:18.450148,3.2259686962033327,0.017989536747336388,0.6405078768730164,0.016528524458408356,33.33091735839844,0.7173144817352295,0.7173144817352295,203.0,203.0,80.0,80.0,3.4199701064455827,0.00671476,0.6843738,0.0067259404,220.05563,0.5822398,0.58495575,661.0,661.0,469.0,469.0,
JPM,0,0:04:34.143148,3.5750759293880368,0.16599607467651367,0.6822667121887207,0.16588973999023438,72.15656280517578,0.5822659730911255,0.5822660326957703,591.0,591.0,424.0,424.0,3.4604247495087828,0.004686362,0.69114906,0.004686501,93.247826,0.53924626,0.528948,2147.0,2147.0,1912.0,1912.0,
KHC,0,0:04:37.622149,3.737974529224345,0.2695719599723816,0.6935225129127502,0.27674221992492676,2428.967529296875,0.5462555289268494,0.5462555289268494,124.0,124.0,103.0,103.0,3.641393532673957,0.10608827,0.7067044,0.1070483,72.34174,0.47748235,0.47845304,433.0,433.0,472.0,472.0,
KO,0,0:04:53.365147,3.5935276599940407,0.22545602917671204,0.6739046573638916,0.2251138985157013,67.46385955810547,0.6522167325019836,0.6522167325019836,662.0,662.0,353.0,353.0,3.469422348087778,0.037082244,0.6864657,0.037099835,256.44614,0.5682466,0.5723084,2323.0,2323.0,1736.0,1736.0,
KR,0,0:05:08.072800,3.5933927066220437,0.1323753148317337,0.6926742792129517,0.13135816156864166,61.84147262573242,0.5389162302017212,0.5389162302017212,547.0,547.0,468.0,468.0,3.463568993700229,0.038917378,0.684853,0.038936,114.530785,0.56416476,0.5698448,2313.0,2313.0,1746.0,1746.0,
MRK,0,0:05:23.060701,3.6551763558035413,0.21410594880580902,0.6882985234260559,0.2129272222518921,62.8677978515625,0.5684728622436523,0.5684729218482971,577.0,577.0,438.0,438.0,3.4662521710152636,0.015353933,0.6901826,0.0153533695,87.25833,0.5460448,0.54964274,2231.0,2231.0,1828.0,1828.0,
MSFT,0,0:05:37.582700,3.4845953041696784,0.0970328152179718,0.677868127822876,0.09465886652469635,84.73635864257812,0.7674877643585205,0.7674877047538757,779.0,779.0,236.0,236.0,3.4731311782823755,0.0025695772,0.6941017,0.002571553,119.69701,0.5211633,0.5203252,2112.0,2112.0,1947.0,1947.0,
MU,0,0:05:51.317944,3.5076291063148988,0.07653704285621643,0.6864362955093384,0.07603999972343445,57.610103607177734,0.5891625881195068,0.5891625881195068,598.0,598.0,417.0,417.0,3.498558341120522,0.022111727,0.6952979,0.022125123,141.5085,0.4910612,0.49716678,2018.0,2018.0,2041.0,2041.0,
NWSA,0,0:05:55.684944,3.465725956541119,0.008075096644461155,0.692171037197113,0.008194652386009693,110.08186340332031,0.5303030014038086,0.5303030014038086,175.0,175.0,155.0,155.0,3.4759469220703494,0.0094249565,0.69298893,0.009382573,32.885906,0.50950193,0.52279633,688.0,688.0,628.0,628.0,
ORCL,0,0:06:09.403944,3.424620237021611,0.08893689513206482,0.6663540005683899,0.08852539211511612,60.972259521484375,0.6305418014526367,0.6305418610572815,640.0,640.0,375.0,375.0,3.468855057070484,0.013010545,0.6912012,0.0130110495,148.23224,0.5391619,0.53239715,2161.0,2161.0,1898.0,1898.0,
PEP,0,0:06:23.179240,3.5273784797179877,0.2103123515844345,0.664844274520874,0.209142804145813,69.14134979248047,0.6226601004600525,0.6226601004600525,632.0,632.0,383.0,383.0,3.4165843697303795,0.015104551,0.68029535,0.0151146995,74.4168,0.5811133,0.586844,2382.0,2382.0,1677.0,1677.0,
PFE,0,0:06:38.138356,3.538830784858741,0.14784716069698334,0.6794940829277039,0.14792020618915558,64.16960144042969,0.5871921181678772,0.5871921181678772,596.0,596.0,419.0,419.0,3.4615841815846986,0.012591978,0.6898575,0.012594035,134.08463,0.5476825,0.5523528,2242.0,2242.0,1817.0,1817.0,
PM,0,0:06:47.528573,3.4304260733954433,0.040879637002944946,0.6791892647743225,0.04132043942809105,29.133052825927734,0.5959596037864685,0.5959596037864685,354.0,354.0,240.0,240.0,3.429561956161602,0.060353793,0.67378706,0.060547538,192.8897,0.6019978,0.60227275,1431.0,1431.0,945.0,945.0,
PYPL,0,0:06:50.710587,3.20697198232015,0.0856318324804306,0.5949905514717102,0.06799010187387466,80.70060729980469,0.6800000071525574,0.6800000071525574,153.0,153.0,72.0,72.0,3.100836531108571,0.0266052,0.63665146,0.027443094,236.75673,0.7068316,0.71571904,642.0,642.0,255.0,255.0,
QCOM,0,0:07:05.170746,3.473618821909862,0.030725201591849327,0.6880703568458557,0.030096573755145073,44.21320724487305,0.5477832555770874,0.5477832555770874,556.0,556.0,459.0,459.0,3.4544192319669347,0.008584385,0.6891262,0.008585905,146.17393,0.55813366,0.5530919,2245.0,2245.0,1814.0,1814.0,
QQQ,0,0:07:19.974146,3.116689140573511,0.11826557666063309,0.599333643913269,0.11658041924238205,78.78155517578125,0.7931034564971924,0.7931034564971924,805.0,805.0,210.0,210.0,3.3870186635384156,0.004851356,0.6765,0.004852927,139.72931,0.589751,0.5952205,2416.0,2416.0,1643.0,1643.0,
SBUX,0,0:07:34.512645,3.5575374067710537,0.14858336746692657,0.6820496320724487,0.14791354537010193,75.42578887939453,0.6354680061340332,0.6354680061340332,645.0,645.0,370.0,370.0,3.429242428960281,0.012327105,0.68339384,0.012328623,221.53433,0.57855535,0.5792067,2351.0,2351.0,1708.0,1708.0,
SLB,0,0:07:49.696213,3.509360885385222,0.03899385407567024,0.6942915320396423,0.03801444545388222,237.19654846191406,0.5024630427360535,0.5024630427360535,510.0,510.0,505.0,505.0,3.525721005777856,0.067228295,0.6917113,0.06719114,195.48155,0.5347489,0.53535354,2173.0,2173.0,1886.0,1886.0,
T,0,0:08:04.270065,3.6060101088631917,0.2501223087310791,0.67143714427948,0.25043851137161255,62.027828216552734,0.6157635450363159,0.6157635450363159,625.0,625.0,390.0,390.0,3.4736067949183678,0.035354245,0.6877029,0.035360206,111.23477,0.5625353,0.5560483,2257.0,2257.0,1802.0,1802.0,
TNA,0,0:08:12.359723,3.441393954413278,0.12102234363555908,0.665996253490448,0.1244584321975708,56.89186096191406,0.6214286088943481,0.6214285492897034,348.0,348.0,212.0,212.0,3.4209063916425912,0.026300393,0.6789293,0.026288873,97.43066,0.5816994,0.59231114,1325.0,1325.0,912.0,912.0,
TWLO,0,0:08:15.085772,3.412198586410351,0.02539811097085476,0.6830711364746094,0.020177999511361122,35.73778533935547,0.601123571395874,0.601123571395874,107.0,107.0,71.0,71.0,3.267792450860458,0.014737937,0.6564208,0.014669231,676.55035,0.64437294,0.64880115,460.0,460.0,249.0,249.0,
TWTR,0,0:08:19.569309,3.5408655105098603,0.026161860674619675,0.7024676203727722,0.026518207043409348,43.541481018066406,0.40645161271095276,0.40645161271095276,126.0,126.0,184.0,184.0,3.5461102883085283,0.027411574,0.7036733,0.027476389,257.43564,0.48454973,0.502021,621.0,621.0,616.0,616.0,
TXN,0,0:08:33.816473,3.491225844416125,0.1507287621498108,0.6686394810676575,0.14952701330184937,82.3965072631836,0.6492610573768616,0.6492610573768616,659.0,659.0,356.0,356.0,3.4684302762213175,0.0034342725,0.69304204,0.0034356907,128.81924,0.52486026,0.5198325,2110.0,2110.0,1949.0,1949.0,
TZA,0,0:08:41.840854,3.1785826410566056,0.0001527055719634518,0.6328848600387573,0.0001526140549685806,5575.875,0.6678571701049805,0.6678571701049805,374.0,374.0,186.0,186.0,3.309041892197924,0.0010413186,0.66164577,0.0010424794,1270.4521,0.63847226,0.6276263,1404.0,1404.0,833.0,833.0,
USB,0,0:08:56.804765,3.6232417468366953,0.22396855056285858,0.6798101663589478,0.22508829832077026,65.05831909179688,0.6029556393623352,0.6029556393623352,612.0,612.0,403.0,403.0,3.467237505075173,0.023371391,0.6887712,0.023373473,78.46294,0.5605112,0.56417835,2290.0,2290.0,1769.0,1769.0,
V,0,0:09:05.810368,2.9367072237059726,0.24492673575878143,0.5367833375930786,0.2413468211889267,78.81944274902344,0.7794612646102905,0.7794612646102905,463.0,463.0,131.0,131.0,3.202840867721442,0.015124638,0.63759524,0.015116092,312.281,0.66855586,0.6714406,1594.0,1594.0,780.0,780.0,
VER,0,0:09:09.068701,3.460707147025207,0.07447817176580429,0.677008330821991,0.07468384504318237,93.25718688964844,0.5964125394821167,0.5964125394821167,133.0,133.0,90.0,90.0,3.32665070523037,0.03435715,0.65821606,0.0344949,31.669474,0.6324681,0.63820225,568.0,568.0,322.0,322.0,
VOD,0,0:09:24.206560,3.716346232644443,0.10350937396287918,0.7223140001296997,0.10431418567895889,39.25628662109375,0.4443349838256836,0.4443349838256836,451.0,451.0,564.0,564.0,3.5118636535170866,0.058219764,0.6906685,0.05822653,110.980545,0.5506691,0.5523528,2242.0,2242.0,1817.0,1817.0,
VZ,0,0:09:39.551323,3.702771171325533,0.23249225318431854,0.6942461133003235,0.2314532846212387,62.674922943115234,0.49064040184020996,0.49064040184020996,498.0,498.0,517.0,517.0,3.4995359130961816,0.028710369,0.69416744,0.028713537,94.67874,0.5101949,0.51564425,2093.0,2093.0,1966.0,1966.0,
WBA,0,0:09:54.427324,3.779262226555735,0.21418890357017517,0.7119355201721191,0.21590174734592438,62.16261291503906,0.4798029661178589,0.4798029661178589,487.0,487.0,528.0,528.0,3.4617694365211706,0.048629314,0.68265164,0.048627112,94.28892,0.576107,0.5723084,2323.0,2323.0,1736.0,1736.0,
